x,a,b
0,5.55112e-17,1
0.0300752,0.00758541,0.992415
0.0601504,0.0151701,0.98483
0.0902256,0.0227535,0.977247
0.120301,0.0303348,0.969665
0.150376,0.0379134,0.962087
0.180451,0.0454885,0.954512
0.210526,0.0530595,0.94694
0.240602,0.0606258,0.939374
0.270677,0.0681866,0.931813
0.300752,0.0757412,0.924259
0.330827,0.083289,0.916711
0.360902,0.0908294,0.909171
0.390977,0.0983615,0.901638
0.421053,0.105885,0.894115
0.451128,0.113399,0.886601
0.481203,0.120902,0.879098
0.511278,0.128395,0.871605
0.541353,0.135876,0.864124
0.571429,0.143346,0.856654
0.601504,0.150802,0.849198
0.631579,0.158245,0.841755
0.661654,0.165674,0.834326
0.691729,0.173088,0.826912
0.721805,0.180486,0.819514
0.75188,0.187869,0.812131
0.781955,0.195235,0.804765
0.81203,0.202584,0.797416
0.842105,0.209915,0.790085
0.87218,0.217227,0.782773
0.902256,0.22452,0.77548
0.932331,0.231793,0.768207
0.962406,0.239047,0.760953
0.992481,0.246279,0.753721
1.02256,0.253489,0.746511
1.05263,0.260678,0.739322
1.08271,0.267844,0.732156
1.11278,0.274986,0.725014
1.14286,0.282105,0.717895
1.17293,0.289199,0.710801
1.20301,0.296269,0.703731
1.23308,0.303313,0.696687
1.26316,0.310331,0.689669
1.29323,0.317322,0.682678
1.32331,0.324286,0.675714
1.35338,0.331223,0.668777
1.38346,0.338131,0.661869
1.41353,0.345011,0.654989
1.44361,0.351862,0.648138
1.47368,0.358683,0.641317
1.50376,0.365474,0.634526
1.53383,0.372234,0.627766
1.56391,0.378963,0.621037
1.59398,0.385661,0.614339
1.62406,0.392327,0.607673
1.65414,0.39896,0.60104
1.68421,0.40556,0.59444
1.71429,0.412127,0.587873
1.74436,0.418661,0.581339
1.77444,0.42516,0.57484
1.80451,0.431625,0.568375
1.83459,0.438054,0.561946
1.86466,0.444449,0.555551
1.89474,0.450808,0.549192
1.92481,0.45713,0.54287
1.95489,0.463416,0.536584
1.98496,0.469666,0.530334
2.01504,0.475878,0.524122
2.04511,0.482053,0.517947
2.07519,0.48819,0.51181
2.10526,0.494288,0.505712
2.13534,0.500349,0.499651
2.16541,0.50637,0.49363
2.19549,0.512353,0.487647
2.22556,0.518296,0.481704
2.25564,0.5242,0.4758
2.28571,0.530064,0.469936
2.31579,0.535887,0.464113
2.34586,0.541671,0.458329
2.37594,0.547413,0.452587
2.40602,0.553115,0.446885
2.43609,0.558776,0.441224
2.46617,0.564395,0.435605
2.49624,0.569973,0.430027
2.52632,0.57551,0.42449
2.55639,0.581004,0.418996
2.58647,0.586457,0.413543
2.61654,0.591867,0.408133
2.64662,0.597235,0.402765
2.67669,0.60256,0.39744
2.70677,0.607843,0.392157
2.73684,0.613083,0.386917
2.76692,0.61828,0.38172
2.79699,0.623434,0.376566
2.82707,0.628545,0.371455
2.85714,0.633613,0.366387
2.88722,0.638637,0.361363
2.91729,0.643618,0.356382
2.94737,0.648556,0.351444
2.97744,0.65345,0.34655
3.00752,0.6583,0.3417
3.03759,0.663107,0.336893
3.06767,0.66787,0.33213
3.09774,0.672589,0.327411
3.12782,0.677265,0.322735
3.15789,0.681897,0.318103
3.18797,0.686485,0.313515
3.21805,0.69103,0.30897
3.24812,0.695531,0.304469
3.2782,0.699988,0.300012
3.30827,0.704401,0.295599
