x,a,b
0,0.993311,0.0116978
0.0300752,0.988751,0.0123538
0.0601504,0.984186,0.0141688
0.0902256,0.979617,0.0169342
0.120301,0.975046,0.0204677
0.150376,0.970475,0.0246106
0.180451,0.965904,0.0292257
0.210526,0.961336,0.0341948
0.240602,0.956772,0.0394171
0.270677,0.952213,0.0448075
0.300752,0.94766,0.0502942
0.330827,0.943116,0.0558181
0.360902,0.938581,0.0613308
0.390977,0.934056,0.0667933
0.421053,0.929543,0.0721752
0.451128,0.925043,0.0774534
0.481203,0.920557,0.0826111
0.511278,0.916087,0.087637
0.541353,0.911633,0.0925244
0.571429,0.907196,0.0972705
0.601504,0.902778,0.101876
0.631579,0.898379,0.106344
0.661654,0.894001,0.11068
0.691729,0.889645,0.114892
0.721805,0.88531,0.118987
0.75188,0.881,0.122976
0.781955,0.876713,0.126868
0.81203,0.872451,0.130674
0.842105,0.868215,0.134405
0.87218,0.864006,0.13807
0.902256,0.859824,0.141681
0.932331,0.85567,0.145246
0.962406,0.851545,0.148776
0.992481,0.847449,0.15228
1.02256,0.843383,0.155764
1.05263,0.839348,0.159238
1.08271,0.835344,0.162706
1.11278,0.831372,0.166175
1.14286,0.827432,0.16965
1.17293,0.823526,0.173135
1.20301,0.819652,0.176634
1.23308,0.815813,0.180148
1.26316,0.812008,0.183679
1.29323,0.808238,0.187229
1.32331,0.804503,0.190799
1.35338,0.800804,0.194386
1.38346,0.797141,0.197992
1.41353,0.793515,0.201614
1.44361,0.789925,0.20525
1.47368,0.786373,0.208899
1.50376,0.782858,0.212556
1.53383,0.779381,0.21622
1.56391,0.775942,0.219886
1.59398,0.772542,0.223551
1.62406,0.76918,0.227212
1.65414,0.765858,0.230863
1.68421,0.762575,0.2345
1.71429,0.759331,0.238121
1.74436,0.756127,0.241719
1.77444,0.752963,0.245291
1.80451,0.749839,0.248833
1.83459,0.746755,0.252341
1.86466,0.743712,0.25581
1.89474,0.74071,0.259236
1.92481,0.737748,0.262616
1.95489,0.734828,0.265946
1.98496,0.731949,0.269223
2.01504,0.729111,0.272444
2.04511,0.726314,0.275605
2.07519,0.723559,0.278704
2.10526,0.720846,0.281739
2.13534,0.718175,0.284707
2.16541,0.715545,0.287606
2.19549,0.712957,0.290435
2.22556,0.710411,0.293192
2.25564,0.707908,0.295877
2.28571,0.705446,0.298488
2.31579,0.703027,0.301025
2.34586,0.70065,0.303487
2.37594,0.698315,0.305875
2.40602,0.696022,0.308188
2.43609,0.693771,0.310428
2.46617,0.691563,0.312594
2.49624,0.689397,0.314687
2.52632,0.687273,0.316709
2.55639,0.685192,0.31866
2.58647,0.683152,0.320543
2.61654,0.681155,0.322357
2.64662,0.6792,0.324106
2.67669,0.677287,0.325791
2.70677,0.675416,0.327414
2.73684,0.673587,0.328977
2.76692,0.6718,0.330482
2.79699,0.670054,0.33193
2.82707,0.66835,0.333325
2.85714,0.666688,0.334668
2.88722,0.665068,0.335963
2.91729,0.663489,0.33721
2.94737,0.661951,0.338412
2.97744,0.660454,0.339572
3.00752,0.658998,0.340692
3.03759,0.657583,0.341773
3.06767,0.656209,0.342819
3.09774,0.654876,0.34383
3.12782,0.653583,0.34481
3.15789,0.65233,0.345759
3.18797,0.651118,0.346681
3.21805,0.649945,0.347576
3.24812,0.648812,0.348446
3.2782,0.647719,0.349293
3.30827,0.646665,0.350118
3.33835,0.64565,0.350923
3.36842,0.644675,0.351708
3.3985,0.643738,0.352475
3.42857,0.642839,0.353224
3.45865,0.641979,0.353957
3.48872,0.641157,0.354674
3.5188,0.640373,0.355376
3.54887,0.639627,0.356063
3.57895,0.638918,0.356736
3.60902,0.638246,0.357394
3.6391,0.637611,0.358039
3.66917,0.637013,0.358668
3.69925,0.636451,0.359284
3.72932,0.635926,0.359885
3.7594,0.635436,0.360471
3.78947,0.634982,0.361041
3.81955,0.634563,0.361596
3.84962,0.634179,0.362134
3.8797,0.63383,0.362655
3.90977,0.633515,0.363158
3.93985,0.633235,0.363641
3.96992,0.632988,0.364105
4,0.632776,0.364549
4.03008,0.632596,0.36497
4.06015,0.632449,0.365369
4.09023,0.632335,0.365744
4.1203,0.632254,0.366094
4.15038,0.632204,0.366418
4.18045,0.632187,0.366715
4.21053,0.6322,0.366983
4.2406,0.632245,0.367222
4.27068,0.632321,0.367431
4.30075,0.632427,0.367608
4.33083,0.632563,0.367752
4.3609,0.63273,0.367863
4.39098,0.632925,0.367938
4.42105,0.63315,0.367978
4.45113,0.633404,0.367982
4.4812,0.633686,0.367947
4.51128,0.633997,0.367875
4.54135,0.634336,0.367763
4.57143,0.634702,0.367612
4.6015,0.635095,0.367421
4.63158,0.635515,0.367188
4.66165,0.635962,0.366915
4.69173,0.636435,0.366599
4.7218,0.636934,0.366242
4.75188,0.637459,0.365842
4.78195,0.638009,0.3654
4.81203,0.638584,0.364915
4.84211,0.639183,0.364388
4.87218,0.639807,0.363819
4.90226,0.640455,0.363207
4.93233,0.641126,0.362554
4.96241,0.641821,0.36186
4.99248,0.642539,0.361124
5.02256,0.643279,0.360348
5.05263,0.644041,0.359532
5.08271,0.644826,0.358678
5.11278,0.645632,0.357784
5.14286,0.64646,0.356854
5.17293,0.647309,0.355887
5.20301,0.648178,0.354884
5.23308,0.649068,0.353846
5.26316,0.649978,0.352776
5.29323,0.650908,0.351673
5.32331,0.651858,0.350538
5.35338,0.652826,0.349374
5.38346,0.653813,0.348182
5.41353,0.654819,0.346962
5.44361,0.655843,0.345716
5.47368,0.656886,0.344446
5.50376,0.657945,0.343152
5.53383,0.659022,0.341837
5.56391,0.660117,0.340502
5.59398,0.661228,0.339148
5.62406,0.662355,0.337776
5.65414,0.663499,0.336389
5.68421,0.664658,0.334987
5.71429,0.665833,0.333572
5.74436,0.667024,0.332145
5.77444,0.668229,0.330707
5.80451,0.669449,0.329261
5.83459,0.670684,0.327806
5.86466,0.671933,0.326346
5.89474,0.673196,0.324879
5.92481,0.674472,0.323409
5.95489,0.675762,0.321936
5.98496,0.677065,0.32046
6.01504,0.678381,0.318984
6.04511,0.679709,0.317507
6.07519,0.68105,0.316032
6.10526,0.682403,0.314558
6.13534,0.683768,0.313087
6.16541,0.685144,0.311618
6.19549,0.686531,0.310153
6.22556,0.68793,0.308693
6.25564,0.68934,0.307237
6.28571,0.69076,0.305787
6.31579,0.69219,0.304341
6.34586,0.693631,0.302902
6.37594,0.695081,0.301468
6.40602,0.696541,0.30004
6.43609,0.69801,0.298619
6.46617,0.699489,0.297203
6.49624,0.700976,0.295792
6.52632,0.702473,0.294388
6.55639,0.703977,0.292988
