x,a,b
0,5.55112e-17,1
0.0300752,0.00847992,0.99152
0.0601504,0.0169589,0.983041
0.0902256,0.0254359,0.974564
0.120301,0.0339101,0.96609
0.150376,0.0423805,0.95762
0.180451,0.050846,0.949154
0.210526,0.0593059,0.940694
0.240602,0.0677591,0.932241
0.270677,0.0762046,0.923795
0.300752,0.0846416,0.915358
0.330827,0.093069,0.906931
0.360902,0.101486,0.898514
0.390977,0.109892,0.890108
0.421053,0.118285,0.881715
0.451128,0.126665,0.873335
0.481203,0.135031,0.864969
0.511278,0.143382,0.856618
0.541353,0.151716,0.848284
0.571429,0.160034,0.839966
0.601504,0.168334,0.831666
0.631579,0.176616,0.823384
0.661654,0.184877,0.815123
0.691729,0.193118,0.806882
0.721805,0.201338,0.798662
0.75188,0.209536,0.790464
0.781955,0.21771,0.78229
0.81203,0.225861,0.774139
0.842105,0.233987,0.766013
0.87218,0.242087,0.757913
0.902256,0.250161,0.749839
0.932331,0.258207,0.741793
0.962406,0.266225,0.733775
0.992481,0.274215,0.725785
1.02256,0.282174,0.717826
1.05263,0.290104,0.709896
1.08271,0.298001,0.701999
1.11278,0.305867,0.694133
1.14286,0.3137,0.6863
1.17293,0.3215,0.6785
1.20301,0.329265,0.670735
1.23308,0.336996,0.663004
1.26316,0.34469,0.65531
1.29323,0.352349,0.647651
1.32331,0.35997,0.64003
1.35338,0.367553,0.632447
1.38346,0.375098,0.624902
1.41353,0.382604,0.617396
1.44361,0.390071,0.609929
1.47368,0.397497,0.602503
1.50376,0.404882,0.595118
1.53383,0.412225,0.587775
1.56391,0.419526,0.580474
1.59398,0.426785,0.573215
1.62406,0.434,0.566
1.65414,0.441171,0.558829
1.68421,0.448298,0.551702
1.71429,0.45538,0.54462
1.74436,0.462417,0.537583
1.77444,0.469408,0.530592
1.80451,0.476352,0.523648
1.83459,0.48325,0.51675
1.86466,0.4901,0.5099
1.89474,0.496902,0.503098
1.92481,0.503656,0.496344
1.95489,0.510362,0.489638
1.98496,0.517019,0.482981
2.01504,0.523626,0.476374
2.04511,0.530183,0.469817
2.07519,0.53669,0.46331
2.10526,0.543147,0.456853
2.13534,0.549553,0.450447
2.16541,0.555907,0.444093
2.19549,0.562211,0.437789
2.22556,0.568462,0.431538
2.25564,0.574662,0.425338
2.28571,0.580809,0.419191
2.31579,0.586904,0.413096
2.34586,0.592946,0.407054
2.37594,0.598935,0.401065
2.40602,0.604871,0.395129
2.43609,0.610753,0.389247
2.46617,0.616582,0.383418
2.49624,0.622357,0.377643
2.52632,0.628079,0.371921
2.55639,0.633746,0.366254
2.58647,0.639359,0.360641
2.61654,0.644918,0.355082
2.64662,0.650423,0.349577
2.67669,0.655873,0.344127
2.70677,0.661269,0.338731
2.73684,0.66661,0.33339
2.76692,0.671896,0.328104
2.79699,0.677128,0.322872
2.82707,0.682306,0.317694
2.85714,0.687428,0.312572
2.88722,0.692496,0.307504
2.91729,0.697509,0.302491
2.94737,0.702468,0.297532
2.97744,0.707372,0.292628
3.00752,0.712222,0.287778
3.03759,0.717017,0.282983
3.06767,0.721757,0.278243
3.09774,0.726444,0.273556
3.12782,0.731076,0.268924
3.15789,0.735654,0.264346
3.18797,0.740178,0.259822
3.21805,0.744649,0.255351
3.24812,0.749065,0.250935
3.2782,0.753428,0.246572
3.30827,0.757738,0.242262
3.33835,0.761995,0.238005
3.36842,0.766198,0.233802
3.3985,0.770349,0.229651
3.42857,0.774447,0.225553
3.45865,0.778492,0.221508
3.48872,0.782485,0.217515
3.5188,0.786427,0.213573
3.54887,0.790316,0.209684
3.57895,0.794154,0.205846
3.60902,0.797941,0.202059
3.6391,0.801677,0.198323
3.66917,0.805362,0.194638
3.69925,0.808997,0.191003
3.72932,0.812581,0.187419
3.7594,0.816116,0.183884
3.78947,0.819601,0.180399
3.81955,0.823037,0.176963
3.84962,0.826424,0.173576
3.8797,0.829762,0.170238
3.90977,0.833052,0.166948
3.93985,0.836294,0.163706
3.96992,0.839489,0.160511
4,0.842636,0.157364
4.03008,0.845736,0.154264
4.06015,0.848789,0.151211
4.09023,0.851797,0.148203
4.1203,0.854758,0.145242
4.15038,0.857674,0.142326
4.18045,0.860545,0.139455
4.21053,0.863371,0.136629
4.2406,0.866153,0.133847
4.27068,0.868891,0.131109
4.30075,0.871585,0.128415
4.33083,0.874236,0.125764
4.3609,0.876844,0.123156
4.39098,0.87941,0.12059
4.42105,0.881934,0.118066
4.45113,0.884416,0.115584
4.4812,0.886857,0.113143
4.51128,0.889257,0.110743
4.54135,0.891617,0.108383
4.57143,0.893937,0.106063
4.6015,0.896218,0.103782
4.63158,0.898459,0.101541
4.66165,0.900662,0.0993382
4.69173,0.902826,0.0971738
4.7218,0.904953,0.0950472
4.75188,0.907042,0.092958
4.78195,0.909094,0.0909058
4.81203,0.91111,0.0888901
4.84211,0.913089,0.0869106
4.87218,0.915033,0.0849668
4.90226,0.916942,0.0830583
4.93233,0.918815,0.0811846
4.96241,0.920655,0.0793453
4.99248,0.92246,0.0775401
5.02256,0.924232,0.0757684
5.05263,0.92597,0.0740299
5.08271,0.927676,0.072324
5.11278,0.92935,0.0706505
5.14286,0.930991,0.0690088
5.17293,0.932601,0.0673986
5.20301,0.934181,0.0658194
5.23308,0.935729,0.0642708
5.26316,0.937248,0.0627523
5.29323,0.938736,0.0612636
5.32331,0.940196,0.0598043
5.35338,0.941626,0.0583739
5.38346,0.943028,0.056972
5.41353,0.944402,0.0555982
5.44361,0.945748,0.054252
5.47368,0.947067,0.0529332
5.50376,0.948359,0.0516412
5.53383,0.949624,0.0503757
5.56391,0.950864,0.0491363
5.59398,0.952077,0.0479226
5.62406,0.953266,0.0467341
5.65414,0.95443,0.0455705
5.68421,0.955569,0.0444314
5.71429,0.956684,0.0433163
5.74436,0.957775,0.042225
5.77444,0.958843,0.0411571
5.80451,0.959888,0.040112
5.83459,0.96091,0.0390896
5.86466,0.961911,0.0380893
5.89474,0.962889,0.0371109
5.92481,0.963846,0.036154
5.95489,0.964782,0.0352181
5.98496,0.965697,0.034303
6.01504,0.966592,0.0334082
6.04511,0.967466,0.0325335
6.07519,0.968322,0.0316785
6.10526,0.969157,0.0308427
6.13534,0.969974,0.030026
6.16541,0.970772,0.0292279
6.19549,0.971552,0.0284481
6.22556,0.972314,0.0276863
6.25564,0.973058,0.0269421
6.28571,0.973785,0.0262152
6.31579,0.974495,0.0255054
6.34586,0.975188,0.0248122
6.37594,0.975865,0.0241353
6.40602,0.976525,0.0234745
6.43609,0.97717,0.0228295
6.46617,0.9778,0.0221999
6.49624,0.978415,0.0215855
6.52632,0.979014,0.0209858
6.55639,0.979599,0.0204008
6.58647,0.98017,0.01983
6.61654,0.980727,0.0192732
6.64662,0.98127,0.0187301
6.67669,0.9818,0.0182004
6.70677,0.982316,0.0176838
6.73684,0.98282,0.0171802
6.76692,0.983311,0.0166891
6.79699,0.98379,0.0162104
6.82707,0.984256,0.0157438
6.85714,0.984711,0.0152891
6.88722,0.985154,0.0148459
6.91729,0.985586,0.0144141
6.94737,0.986007,0.0139934
6.97744,0.986416,0.0135836
7.00752,0.986816,0.0131844
7.03759,0.987204,0.0127956
7.06767,0.987583,0.0124169
7.09774,0.987952,0.0120482
7.12782,0.988311,0.0116893
7.15789,0.98866,0.0113398
7.18797,0.989,0.0109996
7.21805,0.989331,0.0106686
7.24812,0.989654,0.0103464
7.2782,0.989967,0.0100329
7.30827,0.990272,0.00972787
7.33835,0.990569,0.00943112
7.36842,0.990858,0.00914248
7.3985,0.991138,0.00886174
7.42857,0.991411,0.00858871
7.45865,0.991677,0.00832323
7.48872,0.991935,0.0080651
7.5188,0.992186,0.00781416
7.54887,0.99243,0.00757023
7.57895,0.992667,0.00733314
7.60902,0.992897,0.00710273
7.6391,0.993121,0.00687883
7.66917,0.993339,0.00666129
7.69925,0.99355,0.00644995
7.72932,0.993755,0.00624465
7.7594,0.993955,0.00604526
7.78947,0.994148,0.00585161
7.81955,0.994336,0.00566356
7.84962,0.994519,0.00548098
7.8797,0.994696,0.00530372
7.90977,0.994868,0.00513166
7.93985,0.995035,0.00496465
7.96992,0.995197,0.00480256
8,0.995355,0.00464528
8.03008,0.995507,0.00449267
8.06015,0.995655,0.00434462
8.09023,0.995799,0.00420099
8.1203,0.995938,0.00406169
8.15038,0.996073,0.00392658
8.18045,0.996204,0.00379557
8.21053,0.996331,0.00366854
8.2406,0.996455,0.00354538
8.27068,0.996574,0.00342599
8.30075,0.99669,0.00331027
8.33083,0.996802,0.00319812
8.3609,0.996911,0.00308944
8.39098,0.997016,0.00298413
8.42105,0.997118,0.00288211
8.45113,0.997217,0.00278327
8.4812,0.997312,0.00268754
8.51128,0.997405,0.00259483
8.54135,0.997495,0.00250504
8.57143,0.997582,0.0024181
8.6015,0.997666,0.00233393
8.63158,0.997748,0.00225245
8.66165,0.997826,0.00217358
8.69173,0.997903,0.00209725
8.7218,0.997977,0.00202338
8.75188,0.998048,0.0019519
8.78195,0.998117,0.00188274
8.81203,0.998184,0.00181584
8.84211,0.998249,0.00175113
8.87218,0.998311,0.00168854
8.90226,0.998372,0.00162801
8.93233,0.998431,0.00156948
8.96241,0.998487,0.00151289
8.99248,0.998542,0.00145819
9.02256,0.998595,0.00140531
9.05263,0.998646,0.0013542
9.08271,0.998695,0.00130481
9.11278,0.998743,0.00125708
9.14286,0.998789,0.00121096
9.17293,0.998834,0.00116641
9.20301,0.998877,0.00112338
9.23308,0.998918,0.00108181
9.26316,0.998958,0.00104167
9.29323,0.998997,0.00100291
9.32331,0.999035,0.00096548
9.35338,0.999071,0.000929346
9.38346,0.999106,0.000894466
9.41353,0.999139,0.000860799
9.44361,0.999172,0.000828307
9.47368,0.999203,0.000796953
9.50376,0.999233,0.000766699
9.53383,0.999262,0.00073751
9.56391,0.999291,0.000709353
9.59398,0.999318,0.000682193
9.62406,0.999344,0.000655999
9.65414,0.999369,0.000630738
9.68421,0.999394,0.000606381
9.71429,0.999417,0.000582896
9.74436,0.99944,0.000560257
9.77444,0.999462,0.000538433
9.80451,0.999483,0.000517399
9.83459,0.999503,0.000497128
9.86466,0.999522,0.000477594
9.89474,0.999541,0.000458773
9.92481,0.999559,0.00044064
9.95489,0.999577,0.000423172
9.98496,0.999594,0.000406346
10.015,0.99961,0.000390141
10.0451,0.999625,0.000374534
10.0752,0.99964,0.000359506
10.1053,0.999655,0.000345037
10.1353,0.999669,0.000331105
10.1654,0.999682,0.000317694
10.1955,0.999695,0.000304785
10.2256,0.999708,0.00029236
10.2556,0.99972,0.000280401
10.2857,0.999731,0.000268893
10.3158,0.999742,0.000257818
10.3459,0.999753,0.000247162
10.3759,0.999763,0.00023691
10.406,0.999773,0.000227046
10.4361,0.999782,0.000217556
10.4662,0.999792,0.000208428
10.4962,0.9998,0.000199646
10.5263,0.999809,0.000191199
10.5564,0.999817,0.000183074
10.5865,0.999825,0.000175259
10.6165,0.999832,0.000167741
10.6466,0.999839,0.000160511
10.6767,0.999846,0.000153555
10.7068,0.999853,0.000146865
10.7368,0.99986,0.00014043
10.7669,0.999866,0.000134239
10.797,0.999872,0.000128283
10.8271,0.999877,0.000122553
10.8571,0.999883,0.000117038
10.8872,0.999888,0.000111732
10.9173,0.999893,0.000106624
10.9474,0.999898,0.000101707
10.9774,0.999903,9.69728e-05
11.0075,0.999908,9.24133e-05
11.0376,0.999912,8.8021e-05
11.0677,0.999916,8.37888e-05
11.0977,0.99992,7.97094e-05
11.1278,0.999924,7.57759e-05
11.1579,0.999928,7.19817e-05
11.188,0.999932,6.83202e-05
11.218,0.999935,6.47852e-05
11.2481,0.999939,6.13705e-05
11.2782,0.999942,5.80702e-05
11.3083,0.999945,5.48784e-05
11.3383,0.999948,5.17896e-05
11.3684,0.999951,4.87983e-05
11.3985,0.999954,4.58991e-05
11.4286,0.999957,4.30869e-05
11.4586,0.99996,4.03564e-05
11.4887,0.999962,3.7703e-05
11.5188,0.999965,3.51215e-05
11.5489,0.999967,3.26075e-05
11.5789,0.99997,3.01561e-05
11.609,0.999972,2.7763e-05
11.6391,0.999975,2.54235e-05
11.6692,0.999977,2.31334e-05
11.6992,0.999979,2.08884e-05
11.7293,0.999981,1.86841e-05
11.7594,0.999983,1.65165e-05
11.7895,0.999986,1.43813e-05
11.8195,0.999988,1.22745e-05
11.8496,0.99999,1.01918e-05
11.8797,0.999992,8.1294e-06
11.9098,0.999994,6.08307e-06
11.9398,0.999996,4.04878e-06
11.9699,0.999998,2.02246e-06
12,1,5.55112e-17
