x,a,b
0,2.22045e-16,1
0.0300752,0.0119866,0.988013
0.0601504,0.0239706,0.976029
0.0902256,0.0359491,0.964051
0.120301,0.0479195,0.95208
0.150376,0.0598791,0.940121
0.180451,0.0718252,0.928175
0.210526,0.0837552,0.916245
0.240602,0.0956663,0.904334
0.270677,0.107556,0.892444
0.300752,0.119422,0.880578
0.330827,0.13126,0.86874
0.360902,0.14307,0.85693
0.390977,0.154848,0.845152
0.421053,0.166591,0.833409
0.451128,0.178297,0.821703
0.481203,0.189964,0.810036
0.511278,0.201588,0.798412
0.541353,0.213169,0.786831
0.571429,0.224702,0.775298
0.601504,0.236187,0.763813
0.631579,0.247619,0.752381
0.661654,0.258998,0.741002
0.691729,0.270321,0.729679
0.721805,0.281585,0.718415
0.75188,0.292788,0.707212
0.781955,0.303928,0.696072
0.81203,0.315004,0.684996
0.842105,0.326012,0.673988
0.87218,0.336951,0.663049
0.902256,0.347819,0.652181
0.932331,0.358614,0.641386
0.962406,0.369333,0.630667
0.992481,0.379976,0.620024
1.02256,0.390539,0.609461
1.05263,0.401022,0.598978
1.08271,0.411423,0.588577
1.11278,0.421739,0.578261
1.14286,0.43197,0.56803
1.17293,0.442114,0.557886
1.20301,0.452169,0.547831
1.23308,0.462133,0.537867
1.26316,0.472006,0.527994
1.29323,0.481786,0.518214
1.32331,0.491472,0.508528
1.35338,0.501062,0.498938
1.38346,0.510555,0.489445
1.41353,0.51995,0.48005
1.44361,0.529246,0.470754
1.47368,0.538442,0.461558
1.50376,0.547537,0.452463
1.53383,0.55653,0.44347
1.56391,0.56542,0.43458
1.59398,0.574206,0.425794
1.62406,0.582888,0.417112
1.65414,0.591465,0.408535
1.68421,0.599936,0.400064
1.71429,0.608301,0.391699
1.74436,0.616559,0.383441
1.77444,0.62471,0.37529
1.80451,0.632753,0.367247
1.83459,0.640688,0.359312
1.86466,0.648514,0.351486
1.89474,0.656232,0.343768
1.92481,0.66384,0.33616
1.95489,0.67134,0.32866
1.98496,0.678731,0.321269
2.01504,0.686012,0.313988
2.04511,0.693184,0.306816
2.07519,0.700247,0.299753
2.10526,0.707201,0.292799
2.13534,0.714046,0.285954
2.16541,0.720782,0.279218
2.19549,0.72741,0.27259
2.22556,0.733929,0.266071
2.25564,0.740341,0.259659
2.28571,0.746645,0.253355
2.31579,0.752842,0.247158
2.34586,0.758932,0.241068
2.37594,0.764916,0.235084
2.40602,0.770794,0.229206
2.43609,0.776567,0.223433
2.46617,0.782235,0.217765
2.49624,0.7878,0.2122
2.52632,0.793261,0.206739
2.55639,0.79862,0.20138
2.58647,0.803877,0.196123
2.61654,0.809033,0.190967
2.64662,0.814088,0.185912
2.67669,0.819045,0.180955
2.70677,0.823902,0.176098
2.73684,0.828663,0.171337
2.76692,0.833326,0.166674
2.79699,0.837893,0.162107
2.82707,0.842366,0.157634
2.85714,0.846745,0.153255
2.88722,0.85103,0.14897
2.91729,0.855224,0.144776
2.94737,0.859327,0.140673
2.97744,0.86334,0.13666
3.00752,0.867265,0.132735
3.03759,0.871102,0.128898
3.06767,0.874852,0.125148
3.09774,0.878517,0.121483
3.12782,0.882097,0.117903
3.15789,0.885595,0.114405
3.18797,0.88901,0.11099
3.21805,0.892345,0.107655
3.24812,0.8956,0.1044
3.2782,0.898776,0.101224
3.30827,0.901875,0.0981245
3.33835,0.904898,0.0951015
3.36842,0.907847,0.0921534
3.3985,0.910721,0.089279
3.42857,0.913523,0.0864771
3.45865,0.916253,0.0837465
3.48872,0.918914,0.0810861
3.5188,0.921505,0.0784945
3.54887,0.924029,0.0759707
3.57895,0.926487,0.0735133
3.60902,0.928879,0.0711212
3.6391,0.931207,0.0687932
3.66917,0.933472,0.0665281
3.69925,0.935675,0.0643247
3.72932,0.937818,0.0621818
3.7594,0.939902,0.0600982
3.78947,0.941927,0.0580728
3.81955,0.943896,0.0561043
3.84962,0.945808,0.0541917
3.8797,0.947666,0.0523337
3.90977,0.949471,0.0505292
3.93985,0.951223,0.0487771
3.96992,0.952924,0.0470762
4,0.954575,0.0454254
4.03008,0.956176,0.0438237
4.06015,0.95773,0.0422699
4.09023,0.959237,0.0407629
4.1203,0.960698,0.0393016
4.15038,0.962115,0.037885
4.18045,0.963488,0.0365121
4.21053,0.964818,0.0351817
4.2406,0.966107,0.033893
4.27068,0.967355,0.0326447
4.30075,0.968564,0.031436
4.33083,0.969734,0.0302659
4.3609,0.970867,0.0291334
4.39098,0.971962,0.0280376
4.42105,0.973023,0.0269774
4.45113,0.974048,0.025952
4.4812,0.97504,0.0249604
4.51128,0.975998,0.0240018
4.54135,0.976925,0.0230752
4.57143,0.97782,0.0221799
4.6015,0.978685,0.0213149
4.63158,0.979521,0.0204794
4.66165,0.980327,0.0196726
4.69173,0.981106,0.0188936
4.7218,0.981858,0.0181418
4.75188,0.982584,0.0174162
