x,a,b
0,0.0136062,0.986394
0.0300752,0.0215496,0.97845
0.0601504,0.0294883,0.970512
0.0902256,0.0374221,0.962578
0.120301,0.0453508,0.954649
0.150376,0.053274,0.946726
0.180451,0.0611911,0.938809
0.210526,0.0691016,0.930898
0.240602,0.0770049,0.922995
0.270677,0.0849004,0.9151
0.300752,0.0927872,0.907213
0.330827,0.100665,0.899335
0.360902,0.108532,0.891468
0.390977,0.116388,0.883612
0.421053,0.124233,0.875767
0.451128,0.132065,0.867935
0.481203,0.139883,0.860117
0.511278,0.147686,0.852314
0.541353,0.155474,0.844526
0.571429,0.163245,0.836755
0.601504,0.171,0.829
0.631579,0.178735,0.821265
0.661654,0.186452,0.813548
0.691729,0.194148,0.805852
0.721805,0.201823,0.798177
0.75188,0.209476,0.790524
0.781955,0.217106,0.782894
0.81203,0.224712,0.775288
0.842105,0.232294,0.767706
0.87218,0.23985,0.76015
0.902256,0.247379,0.752621
0.932331,0.254881,0.745119
0.962406,0.262355,0.737645
0.992481,0.269799,0.730201
1.02256,0.277215,0.722785
1.05263,0.284599,0.715401
1.08271,0.291952,0.708048
1.11278,0.299274,0.700726
1.14286,0.306562,0.693438
1.17293,0.313818,0.686182
1.20301,0.321039,0.678961
1.23308,0.328225,0.671775
1.26316,0.335376,0.664624
1.29323,0.342492,0.657508
1.32331,0.34957,0.65043
1.35338,0.356612,0.643388
1.38346,0.363616,0.636384
1.41353,0.370581,0.629419
1.44361,0.377508,0.622492
1.47368,0.384396,0.615604
1.50376,0.391244,0.608756
1.53383,0.398052,0.601948
1.56391,0.404819,0.595181
1.59398,0.411546,0.588454
1.62406,0.418231,0.581769
1.65414,0.424874,0.575126
1.68421,0.431475,0.568525
1.71429,0.438034,0.561966
1.74436,0.44455,0.55545
1.77444,0.451022,0.548978
1.80451,0.457452,0.542548
1.83459,0.463837,0.536163
1.86466,0.470179,0.529821
1.89474,0.476476,0.523524
1.92481,0.482728,0.517272
1.95489,0.488936,0.511064
1.98496,0.495099,0.504901
2.01504,0.501217,0.498783
2.04511,0.507289,0.492711
2.07519,0.513316,0.486684
2.10526,0.519297,0.480703
2.13534,0.525232,0.474768
2.16541,0.531121,0.468879
2.19549,0.536964,0.463036
2.22556,0.542761,0.457239
2.25564,0.548511,0.451489
2.28571,0.554215,0.445785
2.31579,0.559872,0.440128
2.34586,0.565482,0.434518
2.37594,0.571046,0.428954
2.40602,0.576563,0.423437
2.43609,0.582033,0.417967
2.46617,0.587456,0.412544
2.49624,0.592833,0.407167
2.52632,0.598162,0.401838
2.55639,0.603444,0.396556
2.58647,0.60868,0.39132
2.61654,0.613868,0.386132
2.64662,0.61901,0.38099
2.67669,0.624104,0.375896
2.70677,0.629152,0.370848
2.73684,0.634153,0.365847
2.76692,0.639107,0.360893
2.79699,0.644014,0.355986
2.82707,0.648875,0.351125
2.85714,0.653688,0.346312
2.88722,0.658456,0.341544
2.91729,0.663177,0.336823
2.94737,0.667851,0.332149
2.97744,0.672479,0.327521
3.00752,0.677061,0.322939
3.03759,0.681597,0.318403
3.06767,0.686087,0.313913
3.09774,0.690531,0.309469
3.12782,0.69493,0.30507
3.15789,0.699283,0.300717
3.18797,0.70359,0.29641
3.21805,0.707852,0.292148
3.24812,0.712069,0.287931
3.2782,0.716241,0.283759
3.30827,0.720368,0.279632
3.33835,0.724451,0.275549
3.36842,0.728489,0.271511
3.3985,0.732483,0.267517
3.42857,0.736432,0.263568
3.45865,0.740338,0.259662
3.48872,0.7442,0.2558
3.5188,0.748019,0.251981
3.54887,0.751794,0.248206
3.57895,0.755526,0.244474
3.60902,0.759216,0.240784
3.6391,0.762863,0.237137
3.66917,0.766467,0.233533
3.69925,0.770029,0.229971
3.72932,0.773549,0.226451
3.7594,0.777028,0.222972
3.78947,0.780465,0.219535
3.81955,0.783861,0.216139
3.84962,0.787215,0.212785
3.8797,0.79053,0.20947
3.90977,0.793803,0.206197
3.93985,0.797037,0.202963
3.96992,0.80023,0.19977
4,0.803384,0.196616
4.03008,0.806498,0.193502
4.06015,0.809574,0.190426
4.09023,0.81261,0.18739
4.1203,0.815608,0.184392
4.15038,0.818568,0.181432
4.18045,0.821489,0.178511
4.21053,0.824373,0.175627
4.2406,0.82722,0.17278
4.27068,0.830029,0.169971
4.30075,0.832802,0.167198
4.33083,0.835537,0.164463
4.3609,0.838237,0.161763
4.39098,0.840901,0.159099
4.42105,0.843529,0.156471
4.45113,0.846122,0.153878
4.4812,0.848679,0.151321
4.51128,0.851202,0.148798
4.54135,0.853691,0.146309
4.57143,0.856145,0.143855
4.6015,0.858566,0.141434
4.63158,0.860952,0.139048
4.66165,0.863306,0.136694
4.69173,0.865627,0.134373
4.7218,0.867915,0.132085
4.75188,0.870171,0.129829
4.78195,0.872395,0.127605
4.81203,0.874588,0.125412
4.84211,0.876749,0.123251
4.87218,0.878878,0.121122
4.90226,0.880978,0.119022
4.93233,0.883046,0.116954
4.96241,0.885085,0.114915
4.99248,0.887094,0.112906
5.02256,0.889073,0.110927
5.05263,0.891023,0.108977
5.08271,0.892945,0.107055
5.11278,0.894837,0.105163
5.14286,0.896702,0.103298
5.17293,0.898538,0.101462
5.20301,0.900347,0.0996528
5.23308,0.902129,0.0978713
5.26316,0.903883,0.0961168
5.29323,0.905611,0.0943891
5.32331,0.907312,0.0926878
5.35338,0.908987,0.0910127
5.38346,0.910637,0.0893634
5.41353,0.91226,0.0877396
5.44361,0.913859,0.0861411
5.47368,0.915432,0.0845675
5.50376,0.916981,0.0830186
5.53383,0.918506,0.081494
5.56391,0.920006,0.0799935
5.59398,0.921483,0.0785168
5.62406,0.922936,0.0770636
5.65414,0.924366,0.0756335
5.68421,0.925774,0.0742264
5.71429,0.927158,0.072842
5.74436,0.92852,0.0714799
5.77444,0.92986,0.0701398
5.80451,0.931178,0.0688216
5.83459,0.932475,0.0675249
5.86466,0.933751,0.0662494
5.89474,0.935005,0.0649949
5.92481,0.936239,0.0637611
5.95489,0.937452,0.0625477
5.98496,0.938645,0.0613546
6.01504,0.939819,0.0601813
6.04511,0.940972,0.0590276
6.07519,0.942107,0.0578934
6.10526,0.943222,0.0567782
6.13534,0.944318,0.0556819
6.16541,0.945396,0.0546042
6.19549,0.946455,0.0535449
6.22556,0.947496,0.0525037
6.25564,0.94852,0.0514803
6.28571,0.949525,0.0504746
6.31579,0.950514,0.0494862
6.34586,0.951485,0.0485149
6.37594,0.95244,0.0475605
6.40602,0.953377,0.0466227
6.43609,0.954299,0.0457014
6.46617,0.955204,0.0447962
6.49624,0.956093,0.0439069
6.52632,0.956967,0.0430334
6.55639,0.957825,0.0421753
6.58647,0.958668,0.0413325
6.61654,0.959495,0.0405047
6.64662,0.960308,0.0396917
6.67669,0.961107,0.0388933
6.70677,0.961891,0.0381093
6.73684,0.962661,0.0373394
6.76692,0.963417,0.0365835
6.79699,0.964159,0.0358413
6.82707,0.964887,0.0351126
6.85714,0.965603,0.0343972
6.88722,0.966305,0.0336949
6.91729,0.966994,0.0330056
6.94737,0.967671,0.0323289
6.97744,0.968335,0.0316647
7.00752,0.968987,0.0310129
7.03759,0.969627,0.0303731
7.06767,0.970255,0.0297453
7.09774,0.970871,0.0291292
7.12782,0.971475,0.0285247
7.15789,0.972069,0.0279315
7.18797,0.972651,0.0273495
7.21805,0.973222,0.0267784
7.24812,0.973782,0.0262182
7.2782,0.974331,0.0256686
7.30827,0.97487,0.0251295
7.33835,0.975399,0.0246007
7.36842,0.975918,0.024082
7.3985,0.976427,0.0235732
7.42857,0.976926,0.0230742
7.45865,0.977415,0.0225848
7.48872,0.977895,0.0221049
7.5188,0.978366,0.0216342
7.54887,0.978827,0.0211727
7.57895,0.97928,0.0207202
7.60902,0.979724,0.0202764
7.6391,0.980159,0.0198414
7.66917,0.980585,0.0194148
7.69925,0.981003,0.0189967
7.72932,0.981413,0.0185867
7.7594,0.981815,0.0181848
7.78947,0.982209,0.0177909
7.81955,0.982595,0.0174048
7.84962,0.982974,0.0170263
7.8797,0.983345,0.0166553
7.90977,0.983708,0.0162917
7.93985,0.984065,0.0159354
7.96992,0.984414,0.0155862
8,0.984756,0.015244
8.03008,0.985091,0.0149087
8.06015,0.98542,0.0145801
8.09023,0.985742,0.0142581
8.1203,0.986057,0.0139426
8.15038,0.986366,0.0136335
8.18045,0.986669,0.0133307
8.21053,0.986966,0.013034
8.2406,0.987257,0.0127434
8.27068,0.987541,0.0124587
8.30075,0.98782,0.0121798
8.33083,0.988093,0.0119066
8.3609,0.988361,0.011639
8.39098,0.988623,0.0113769
8.42105,0.98888,0.0111202
8.45113,0.989131,0.0108688
8.4812,0.989377,0.0106226
8.51128,0.989619,0.0103815
8.54135,0.989855,0.0101454
8.57143,0.990086,0.00991416
8.6015,0.990312,0.00968777
8.63158,0.990534,0.0094661
8.66165,0.990751,0.00924907
8.69173,0.990963,0.00903658
8.7218,0.991171,0.00882855
8.75188,0.991375,0.00862489
8.78195,0.991574,0.00842552
8.81203,0.99177,0.00823036
8.84211,0.991961,0.00803933
8.87218,0.992148,0.00785234
8.90226,0.992331,0.00766932
8.93233,0.99251,0.00749019
8.96241,0.992685,0.00731487
8.99248,0.992857,0.0071433
9.02256,0.993025,0.0069754
9.05263,0.993189,0.00681109
9.08271,0.99335,0.00665031
9.11278,0.993507,0.00649298
9.14286,0.993661,0.00633904
9.17293,0.993812,0.00618841
9.20301,0.993959,0.00604105
9.23308,0.994103,0.00589686
9.26316,0.994244,0.0057558
9.29323,0.994382,0.00561781
9.32331,0.994517,0.0054828
9.35338,0.994649,0.00535074
9.38346,0.994778,0.00522155
9.41353,0.994905,0.00509517
9.44361,0.995028,0.00497155
9.47368,0.995149,0.00485063
9.50376,0.995268,0.00473236
9.53383,0.995383,0.00461666
9.56391,0.995496,0.0045035
9.59398,0.995607,0.00439282
9.62406,0.995715,0.00428455
9.65414,0.995821,0.00417866
9.68421,0.995925,0.00407508
9.71429,0.996026,0.00397377
9.74436,0.996125,0.00387467
9.77444,0.996222,0.00377774
9.80451,0.996317,0.00368292
9.83459,0.99641,0.00359017
9.86466,0.996501,0.00349944
9.89474,0.996589,0.00341068
9.92481,0.996676,0.00332385
9.95489,0.996761,0.00323889
9.98496,0.996844,0.00315577
10.015,0.996926,0.00307444
10.0451,0.997005,0.00299486
10.0752,0.997083,0.00291698
10.1053,0.997159,0.00284076
10.1353,0.997234,0.00276616
10.1654,0.997307,0.00269313
10.1955,0.997378,0.00262165
10.2256,0.997448,0.00255166
10.2556,0.997517,0.00248314
10.2857,0.997584,0.00241604
10.3158,0.99765,0.00235032
10.3459,0.997714,0.00228594
10.3759,0.997777,0.00222288
10.406,0.997839,0.0021611
10.4361,0.997899,0.00210056
10.4662,0.997959,0.00204122
10.4962,0.998017,0.00198306
10.5263,0.998074,0.00192604
10.5564,0.99813,0.00187014
10.5865,0.998185,0.00181531
10.6165,0.998238,0.00176153
10.6466,0.998291,0.00170876
10.6767,0.998343,0.00165699
10.7068,0.998394,0.00160618
10.7368,0.998444,0.00155631
10.7669,0.998493,0.00150734
10.797,0.998541,0.00145925
10.8271,0.998588,0.00141201
10.8571,0.998634,0.00136561
10.8872,0.99868,0.00132001
10.9173,0.998725,0.00127519
10.9474,0.998769,0.00123113
10.9774,0.998812,0.0011878
11.0075,0.998855,0.00114518
11.0376,0.998897,0.00110326
11.0677,0.998938,0.001062
11.0977,0.998979,0.00102138
11.1278,0.999019,0.000981393
11.1579,0.999058,0.000942007
11.188,0.999097,0.000903204
11.218,0.999135,0.000864963
11.2481,0.999173,0.000827265
11.2782,0.99921,0.000790089
11.3083,0.999247,0.000753414
11.3383,0.999283,0.000717221
11.3684,0.999319,0.000681489
11.3985,0.999354,0.000646198
11.4286,0.999389,0.000611327
11.4586,0.999423,0.000576856
11.4887,0.999457,0.000542763
11.5188,0.999491,0.000509028
11.5489,0.999524,0.000475629
11.5789,0.999557,0.000442545
11.609,0.99959,0.000409754
11.6391,0.999623,0.000377234
11.6692,0.999655,0.000344963
11.6992,0.999687,0.000312918
11.7293,0.999719,0.000281076
11.7594,0.999751,0.000249415
11.7895,0.999782,0.000217912
11.8195,0.999813,0.000186546
11.8496,0.999845,0.000155292
11.8797,0.999876,0.000124131
11.9098,0.999907,9.30408e-05
11.9398,0.999938,6.20012e-05
11.9699,0.999969,3.09934e-05
12,1,0
