x,a,b
0,0.0109331,0.989067
0.0300752,0.0150974,0.984903
0.0601504,0.0192606,0.980739
0.0902256,0.0234237,0.976576
0.120301,0.0275873,0.972413
0.150376,0.031752,0.968248
0.180451,0.0359184,0.964082
0.210526,0.0400868,0.959913
0.240602,0.0442577,0.955742
0.270677,0.0484314,0.951569
0.300752,0.0526081,0.947392
0.330827,0.0567879,0.943212
0.360902,0.0609711,0.939029
0.390977,0.0651578,0.934842
0.421053,0.0693479,0.930652
0.451128,0.0735414,0.926459
0.481203,0.0777384,0.922262
0.511278,0.0819389,0.918061
0.541353,0.0861426,0.913857
0.571429,0.0903494,0.909651
0.601504,0.0945594,0.905441
0.631579,0.0987722,0.901228
0.661654,0.102988,0.897012
0.691729,0.107206,0.892794
0.721805,0.111426,0.888574
0.75188,0.115648,0.884352
0.781955,0.119873,0.880127
0.81203,0.124098,0.875902
0.842105,0.128326,0.871674
0.87218,0.132554,0.867446
0.902256,0.136783,0.863217
0.932331,0.141013,0.858987
0.962406,0.145243,0.854757
0.992481,0.149473,0.850527
1.02256,0.153702,0.846298
1.05263,0.157931,0.842069
1.08271,0.16216,0.83784
1.11278,0.166387,0.833613
1.14286,0.170613,0.829387
1.17293,0.174838,0.825162
1.20301,0.17906,0.82094
1.23308,0.183281,0.816719
1.26316,0.187499,0.812501
1.29323,0.191714,0.808286
1.32331,0.195927,0.804073
1.35338,0.200136,0.799864
1.38346,0.204342,0.795658
1.41353,0.208544,0.791456
1.44361,0.212743,0.787257
1.47368,0.216937,0.783063
1.50376,0.221127,0.778873
1.53383,0.225313,0.774687
1.56391,0.229494,0.770506
1.59398,0.23367,0.76633
1.62406,0.23784,0.76216
1.65414,0.242006,0.757994
1.68421,0.246165,0.753835
1.71429,0.250319,0.749681
1.74436,0.254467,0.745533
1.77444,0.258609,0.741391
1.80451,0.262745,0.737255
1.83459,0.266874,0.733126
1.86466,0.270996,0.729004
1.89474,0.275112,0.724888
1.92481,0.27922,0.72078
1.95489,0.283322,0.716678
1.98496,0.287416,0.712584
2.01504,0.291502,0.708498
2.04511,0.295581,0.704419
2.07519,0.299652,0.700348
2.10526,0.303716,0.696284
2.13534,0.307771,0.692229
2.16541,0.311818,0.688182
2.19549,0.315856,0.684144
2.22556,0.319887,0.680113
2.25564,0.323908,0.676092
2.28571,0.327921,0.672079
2.31579,0.331925,0.668075
2.34586,0.33592,0.66408
2.37594,0.339906,0.660094
2.40602,0.343883,0.656117
2.43609,0.34785,0.65215
2.46617,0.351808,0.648192
2.49624,0.355757,0.644243
2.52632,0.359696,0.640304
2.55639,0.363625,0.636375
2.58647,0.367544,0.632456
2.61654,0.371453,0.628547
2.64662,0.375352,0.624648
2.67669,0.379241,0.620759
2.70677,0.38312,0.61688
2.73684,0.386988,0.613012
2.76692,0.390846,0.609154
2.79699,0.394693,0.605307
2.82707,0.39853,0.60147
2.85714,0.402355,0.597645
2.88722,0.40617,0.59383
2.91729,0.409974,0.590026
2.94737,0.413767,0.586233
2.97744,0.417549,0.582451
3.00752,0.42132,0.57868
3.03759,0.425079,0.574921
3.06767,0.428827,0.571173
3.09774,0.432564,0.567436
3.12782,0.436289,0.563711
3.15789,0.440002,0.559998
3.18797,0.443704,0.556296
3.21805,0.447394,0.552606
3.24812,0.451072,0.548928
3.2782,0.454738,0.545262
3.30827,0.458392,0.541608
3.33835,0.462034,0.537966
3.36842,0.465664,0.534336
3.3985,0.469281,0.530719
3.42857,0.472887,0.527113
3.45865,0.47648,0.52352
3.48872,0.48006,0.51994
3.5188,0.483628,0.516372
3.54887,0.487184,0.512816
3.57895,0.490726,0.509274
3.60902,0.494256,0.505744
3.6391,0.497774,0.502226
3.66917,0.501278,0.498722
3.69925,0.50477,0.49523
3.72932,0.508248,0.491752
3.7594,0.511714,0.488286
3.78947,0.515166,0.484834
3.81955,0.518606,0.481394
3.84962,0.522032,0.477968
3.8797,0.525445,0.474555
3.90977,0.528844,0.471156
3.93985,0.532231,0.467769
3.96992,0.535604,0.464396
4,0.538963,0.461037
4.03008,0.542309,0.457691
4.06015,0.545641,0.454359
4.09023,0.54896,0.45104
4.1203,0.552265,0.447735
4.15038,0.555557,0.444443
4.18045,0.558835,0.441165
