t,E_dc,I,C_l,C_r
0,-10,2.52895e-05,inf,1.47385e-06
0.08,-9.92,2.3732e-06,inf,1.77555e-06
0.16,-9.84,2.09919e-06,inf,2.07072e-06
0.24,-9.76,1.87651e-06,inf,2.28572e-06
0.32,-9.68,1.56033e-06,inf,2.37438e-06
0.4,-9.6,1.22293e-06,inf,2.35107e-06
0.48,-9.52,9.83727e-07,inf,2.28083e-06
0.56,-9.44,9.22095e-07,inf,2.24217e-06
0.64,-9.36,1.0726e-06,inf,2.30079e-06
0.72,-9.28,1.43611e-06,inf,2.50556e-06
0.8,-9.2,1.99397e-06,inf,2.89105e-06
0.88,-9.12,2.68921e-06,inf,3.46703e-06
0.96,-9.04,3.37653e-06,inf,4.18909e-06
1.04,-8.96,3.81217e-06,inf,4.93238e-06
1.12,-8.88,3.78297e-06,inf,5.5171e-06
1.2,-8.8,3.28975e-06,inf,5.80542e-06
1.28,-8.72,2.5867e-06,inf,5.79802e-06
1.36,-8.64,2.02333e-06,inf,5.63421e-06
1.44,-8.56,1.84366e-06,inf,5.50692e-06
1.52,-8.48,2.14926e-06,inf,5.58667e-06
1.6,-8.4,2.96633e-06,inf,6.00166e-06
1.68,-8.32,4.26919e-06,inf,6.84498e-06
1.76,-8.24,5.95723e-06,inf,8.15877e-06
1.84,-8.16,7.71716e-06,inf,9.87072e-06
1.92,-8.08,8.99593e-06,inf,1.17189e-05
2,-8,9.2163e-06,inf,1.32764e-05
2.08,-7.92,8.23623e-06,inf,1.41576e-05
2.16,-7.84,6.56569e-06,inf,1.42792e-05
2.24,-7.76,5.05436e-06,inf,1.39219e-05
2.32,-7.68,4.38303e-06,inf,1.35503e-05
2.4,-7.6,4.87422e-06,inf,1.36039e-05
2.48,-7.52,6.60735e-06,inf,1.44187e-05
2.56,-7.44,9.56137e-06,inf,1.62419e-05
2.64,-7.36,1.35442e-05,inf,1.92137e-05
2.72,-7.28,1.79297e-05,inf,2.32364e-05
2.8,-7.2,2.14676e-05,inf,2.77782e-05
2.88,-7.12,2.26697e-05,inf,3.18525e-05
2.96,-7.04,2.0862e-05,inf,3.44305e-05
3.04,-6.96,1.69683e-05,inf,3.51069e-05
3.12,-6.88,1.3004e-05,inf,3.43971e-05
3.2,-6.8,1.0812e-05,inf,3.3393e-05
3.28,-6.72,1.1363e-05,inf,3.32153e-05
3.36,-6.64,1.49456e-05,inf,3.47449e-05
3.44,-6.56,2.1555e-05,inf,3.86326e-05
3.52,-6.48,3.08575e-05,inf,4.5297e-05
3.6,-6.4,4.16135e-05,inf,5.46684e-05
3.68,-6.32,5.10793e-05,inf,6.57082e-05
3.76,-6.24,5.55486e-05,inf,7.61955e-05
3.84,-6.16,5.26874e-05,inf,8.34896e-05
3.92,-6.08,4.38837e-05,inf,8.6142e-05
4,-6,3.37506e-05,inf,8.49454e-05
4.08,-5.92,2.71346e-05,inf,8.23905e-05
4.16,-5.84,2.6906e-05,inf,8.13001e-05
4.24,-5.76,3.4046e-05,inf,8.39775e-05
4.32,-5.68,4.86584e-05,inf,9.21312e-05
4.4,-5.6,7.01834e-05,inf,0.00010694
4.48,-5.52,9.62287e-05,inf,0.000128589
4.56,-5.44,0.000120909,inf,0.000155149
4.64,-5.36,0.000135294,inf,0.000181752
4.72,-5.28,0.000132302,inf,0.000201841
4.8,-5.2,0.000113122,inf,0.000210884
4.88,-5.12,8.78573e-05,inf,0.000209596
4.96,-5.04,6.89236e-05,inf,0.000203447
5.04,-4.96,6.45873e-05,inf,0.00019944
5.12,-4.88,7.80619e-05,inf,0.000203571
5.2,-4.8,0.000109918,inf,0.000220321
5.28,-4.72,0.000159271,inf,0.000252903
5.36,-4.64,0.000221619,inf,0.000302498
5.44,-4.56,0.00028462,inf,0.000365775
5.52,-4.48,0.00032738,inf,0.000432355
5.6,-4.4,0.000330045,inf,0.000486439
5.68,-4.32,0.000290201,inf,0.000514936
5.76,-4.24,0.000228779,inf,0.000516504
5.84,-4.16,0.000176692,inf,0.00050257
5.92,-4.08,0.000157145,inf,0.000490187
6,-4,0.000180332,inf,0.000494868
6.08,-3.92,0.000248587,inf,0.00052836
6.16,-3.84,0.000360675,inf,0.000599244
6.24,-3.76,0.00050834,inf,0.000711895
6.32,-3.68,0.000666284,inf,0.00086123
6.4,-3.6,0.000786898,inf,0.00102578
6.48,-3.52,0.000817584,inf,0.00116853
6.56,-3.44,0.000740174,inf,0.0012537
6.64,-3.36,0.000594788,inf,0.00127057
6.72,-3.28,0.000456044,inf,0.00124132
6.8,-3.2,0.00038741,inf,0.00120656
6.88,-3.12,0.000420292,inf,0.00120605
6.96,-3.04,0.000563279,inf,0.00127057
7.04,-2.96,0.000815198,inf,0.00142278
7.12,-2.88,0.00116132,inf,0.00167636
7.2,-2.8,0.00155094,inf,0.00202546
7.28,-2.72,0.00187828,inf,0.00242724
7.36,-2.64,0.00201003,inf,0.0027972
7.44,-2.56,0.00187504,inf,0.00304193
7.52,-2.48,0.00154107,inf,0.00311792
7.6,-2.4,0.00118199,inf,0.00306335
7.68,-2.32,0.000966772,inf,0.00297223
7.76,-2.24,0.00098943,inf,0.00294526
7.84,-2.16,0.00127978,inf,0.00306286
7.92,-2.08,0.00183902,inf,0.00338444
8,-2,0.00264154,inf,0.00394946
8.08,-1.92,0.00358791,inf,0.00475739
8.16,-1.84,0.00444876,inf,0.0057261
8.24,-1.76,0.00489885,inf,0.00666818
8.32,-1.68,0.00471019,inf,0.00734863
8.4,-1.6,0.00397008,inf,0.00762366
8.48,-1.52,0.00306676,inf,0.0075437
8.56,-1.44,0.00243692,inf,0.00731874
8.64,-1.36,0.00235383,inf,0.00719953
