t,E_dc,I,C_l,C_r
0,-10,9.30365e-06,inf,5.42198e-07
0.08,-9.92,8.76833e-07,inf,6.5319e-07
0.16,-9.84,7.77987e-07,inf,7.61774e-07
0.24,-9.76,6.82369e-07,inf,8.40872e-07
0.32,-9.68,5.75822e-07,inf,8.73487e-07
0.4,-9.6,4.48069e-07,inf,8.64912e-07
0.48,-9.52,3.61406e-07,inf,8.39071e-07
0.56,-9.44,3.39283e-07,inf,8.2485e-07
0.64,-9.36,3.95731e-07,inf,8.46412e-07
0.72,-9.28,5.29243e-07,inf,9.21744e-07
0.8,-9.2,7.31653e-07,inf,1.06356e-06
0.88,-9.12,9.89113e-07,inf,1.27545e-06
0.96,-9.04,1.23932e-06,inf,1.54108e-06
1.04,-8.96,1.40197e-06,inf,1.81452e-06
1.12,-8.88,1.39172e-06,inf,2.02963e-06
1.2,-8.8,1.21082e-06,inf,2.1357e-06
1.28,-8.72,9.52471e-07,inf,2.13298e-06
1.36,-8.64,7.44846e-07,inf,2.07271e-06
1.44,-8.56,6.7895e-07,inf,2.02589e-06
1.52,-8.48,7.90497e-07,inf,2.05522e-06
1.6,-8.4,1.09029e-06,inf,2.20789e-06
1.68,-8.32,1.57072e-06,inf,2.51813e-06
1.76,-8.24,2.19165e-06,inf,3.00145e-06
1.84,-8.16,2.83732e-06,inf,3.63125e-06
1.92,-8.08,3.30955e-06,inf,4.31116e-06
2,-8,3.38944e-06,inf,4.88414e-06
2.08,-7.92,3.03008e-06,inf,5.20833e-06
2.16,-7.84,2.41488e-06,inf,5.25304e-06
2.24,-7.76,1.85833e-06,inf,5.12159e-06
2.32,-7.68,1.61285e-06,inf,4.98491e-06
2.4,-7.6,1.79208e-06,inf,5.00461e-06
2.48,-7.52,2.43137e-06,inf,5.30438e-06
2.56,-7.44,3.51784e-06,inf,5.9751e-06
2.64,-7.36,4.98235e-06,inf,7.06838e-06
2.72,-7.28,6.59565e-06,inf,8.54828e-06
2.8,-7.2,7.89716e-06,inf,1.02191e-05
2.88,-7.12,8.33978e-06,inf,1.1718e-05
2.96,-7.04,7.67439e-06,inf,1.26664e-05
3.04,-6.96,6.24278e-06,inf,1.29153e-05
3.12,-6.88,4.78438e-06,inf,1.26541e-05
3.2,-6.8,3.97741e-06,inf,1.22847e-05
3.28,-6.72,4.17997e-06,inf,1.22194e-05
3.36,-6.64,5.49908e-06,inf,1.27821e-05
3.44,-6.56,7.92991e-06,inf,1.42123e-05
3.52,-6.48,1.1352e-05,inf,1.66641e-05
3.6,-6.4,1.53093e-05,inf,2.01118e-05
3.68,-6.32,1.87916e-05,inf,2.41733e-05
3.76,-6.24,2.04359e-05,inf,2.80315e-05
3.84,-6.16,1.93833e-05,inf,3.0715e-05
3.92,-6.08,1.61445e-05,inf,3.16908e-05
4,-6,1.24166e-05,inf,3.12506e-05
4.08,-5.92,9.98251e-06,inf,3.03106e-05
4.16,-5.84,9.89818e-06,inf,2.99095e-05
4.24,-5.76,1.25253e-05,inf,3.08945e-05
4.32,-5.68,1.79014e-05,inf,3.38943e-05
4.4,-5.6,2.58206e-05,inf,3.93427e-05
4.48,-5.52,3.54032e-05,inf,4.73075e-05
4.56,-5.44,4.44838e-05,inf,5.70794e-05
4.64,-5.36,4.9777e-05,inf,6.6867e-05
4.72,-5.28,4.86763e-05,inf,7.42583e-05
4.8,-5.2,4.16195e-05,inf,7.75858e-05
4.88,-5.12,3.23237e-05,inf,7.7112e-05
4.96,-5.04,2.53574e-05,inf,7.48495e-05
5.04,-4.96,2.37623e-05,inf,7.33751e-05
5.12,-4.88,2.87201e-05,inf,7.48951e-05
5.2,-4.8,4.04415e-05,inf,8.10581e-05
5.28,-4.72,5.86013e-05,inf,9.30462e-05
5.36,-4.64,8.15437e-05,inf,0.000111295
5.44,-4.56,0.000104728,inf,0.000134579
5.52,-4.48,0.000120466,inf,0.000159079
5.6,-4.4,0.000121448,inf,0.000178982
5.68,-4.32,0.000106786,inf,0.000189469
5.76,-4.24,8.4182e-05,inf,0.000190046
5.84,-4.16,6.50139e-05,inf,0.000184918
5.92,-4.08,5.7821e-05,inf,0.000180361
6,-4,6.63553e-05,inf,0.000182084
6.08,-3.92,9.1476e-05,inf,0.00019441
6.16,-3.84,0.000132731,inf,0.000220497
6.24,-3.76,0.000187087,inf,0.000261958
6.32,-3.68,0.000245235,inf,0.000316926
6.4,-3.6,0.000289651,inf,0.000377503
6.48,-3.52,0.000300961,inf,0.000430056
6.56,-3.44,0.000272466,inf,0.000461418
6.64,-3.36,0.000218935,inf,0.000467628
6.72,-3.28,0.000167851,inf,0.00045686
6.8,-3.2,0.000142584,inf,0.00044406
6.88,-3.12,0.000154697,inf,0.000443873
6.96,-3.04,0.000207355,inf,0.000467629
7.04,-2.96,0.000300138,inf,0.000523676
7.12,-2.88,0.000427645,inf,0.000617066
7.2,-2.8,0.000571232,inf,0.000745666
7.28,-2.72,0.00069193,inf,0.000893704
7.36,-2.64,0.000740569,inf,0.00103006
7.44,-2.56,0.000690856,inf,0.00112028
7.52,-2.48,0.000567746,inf,0.0011483
7.6,-2.4,0.00043537,inf,0.00112818
7.68,-2.32,0.000356048,inf,0.00109458
7.76,-2.24,0.000364434,inf,0.00108464
7.84,-2.16,0.000471524,inf,0.00112799
7.92,-2.08,0.000677818,inf,0.00124657
8,-2,0.000974002,inf,0.00145498
8.08,-1.92,0.00132357,inf,0.00175312
8.16,-1.84,0.00164193,inf,0.00211083
8.24,-1.76,0.00180875,inf,0.00245893
8.32,-1.68,0.00173936,inf,0.00271052
8.4,-1.6,0.00146579,inf,0.00281223
8.48,-1.52,0.00113176,inf,0.00278266
8.56,-1.44,0.000898955,inf,0.00269946
8.64,-1.36,0.000868407,inf,0.00265538
8.72,-1.28,0.00107678,inf,0.00272767
