t,E_dc,I,C_l,C_r
0,-10,0.0013807,0,8.04656e-05
0.08,-9.92,0.000117779,7.97148e-05,9.19222e-05
0.16,-9.84,9.99443e-05,9.35102e-05,0.00010332
0.24,-9.76,9.13814e-05,0.000103779,0.000112981
0.32,-9.68,8.32164e-05,0.000111338,0.00011985
0.4,-9.6,7.52886e-05,0.000116385,0.000124127
0.48,-9.52,7.00345e-05,0.000120055,0.000127248
0.56,-9.44,6.99084e-05,0.000124175,0.000131313
0.64,-9.36,7.63839e-05,0.000130708,0.000138447
0.72,-9.28,8.98038e-05,0.000141336,0.000150372
0.8,-9.2,0.000109281,0.000157165,0.000168116
0.88,-9.12,0.000132277,0.000178366,0.000191613
0.96,-9.04,0.000154287,0.00020373,0.000219216
1.04,-8.96,0.000169655,0.000230473,0.000247574
1.12,-8.88,0.000174118,0.000254875,0.00027252
1.2,-8.8,0.000167772,0.000273866,0.000290956
1.28,-8.72,0.000155878,0.000286699,0.000302635
1.36,-8.64,0.00014651,0.000295518,0.000310503
1.44,-8.56,0.000147092,0.000304516,0.000319501
1.52,-8.48,0.000162362,0.000318509,0.000334937
1.6,-8.4,0.000194061,0.000341813,0.000361316
1.68,-8.32,0.00024092,0.000377493,0.000401606
1.76,-8.24,0.000297833,0.000426551,0.000456336
1.84,-8.16,0.00035486,0.000486836,0.000522399
1.92,-8.08,0.000398416,0.000552318,0.000592415
2,-8,0.000416653,0.000614106,0.000656266
2.08,-7.92,0.000407048,0.000663919,0.000705333
2.16,-7.84,0.000380004,0.000698423,0.000737249
2.24,-7.76,0.000354573,0.000721393,0.000757667
2.32,-7.68,0.000349937,0.000742293,0.000777985
2.4,-7.6,0.000379345,0.000772879,0.000811319
2.48,-7.52,0.000448654,0.000824179,0.000869323
2.56,-7.44,0.00055647,0.000904526,0.000960254
2.64,-7.36,0.000692602,0.0010177,0.00108696
2.72,-7.28,0.000835328,0.00116035,0.00124402
2.8,-7.2,0.000952557,0.00131976,0.00141555
2.88,-7.12,0.00101273,0.00147514,0.00157753
2.96,-7.04,0.0010033,0.00160493,0.00170694
3.04,-6.96,0.000943052,0.00169754,0.00179387
3.12,-6.88,0.000875715,0.00175841,0.00184806
3.2,-6.8,0.000849902,0.00180832,0.00189514
3.28,-6.72,0.000901912,0.00187556,0.00196715
3.36,-6.64,0.00105001,0.00198803,0.0020939
3.44,-6.56,0.00129477,0.00216794,0.00229778
3.52,-6.48,0.0016165,0.00242743,0.00258921
3.6,-6.4,0.00196851,0.00276271,0.00295994
3.68,-6.32,0.00227646,0.0031478,0.00337672
3.76,-6.24,0.00245928,0.00353516,0.00378376
3.84,-6.16,0.00247239,0.00387023,0.00412159
3.92,-6.08,0.00234456,0.00411725,0.00435683
4,-6,0.00217298,0.00427997,0.00450265
4.08,-5.92,0.00207836,0.00440233,0.0046151
4.16,-5.84,0.00215822,0.00455133,0.00477113
4.24,-5.76,0.0024669,0.00479672,0.00504617
4.32,-5.68,0.00301516,0.00519665,0.00549978
4.4,-5.6,0.00376669,0.00578716,0.00616485
4.48,-5.52,0.00462282,0.00656872,0.00703259
4.56,-5.44,0.00541463,0.00749039,0.00803555
4.64,-5.36,0.00594046,0.00844582,0.00904703
4.72,-5.28,0.00606292,0.00930091,0.00991815
4.8,-5.2,0.00581009,0.00995316,0.0105479
4.88,-5.12,0.0053894,0.0103887,0.0109424
4.96,-5.04,0.00509328,0.0106956,0.0112188
5.04,-4.96,0.0051781,0.0110292,0.0115589
5.12,-4.88,0.00579969,0.0115613,0.0121505
5.2,-4.8,0.00700625,0.0124414,0.013149
5.28,-4.72,0.00873525,0.0137708,0.0146502
5.36,-4.64,0.0107817,0.0155715,0.0166575
5.44,-4.56,0.0127693,0.0177485,0.0190391
5.52,-4.48,0.0142124,0.02007,0.0215143
5.6,-4.4,0.0147242,0.0222163,0.023722
5.68,-4.32,0.0142759,0.0239106,0.0253791
5.76,-4.24,0.0132866,0.0250663,0.026439
5.84,-4.16,0.0124421,0.0258466,0.0271334
5.92,-4.08,0.0123974,0.0266005,0.0278786
6,-4,0.013583,0.027742,0.0291337
6.08,-3.92,0.0161658,0.0296469,0.0312934
6.16,-3.84,0.0200486,0.0325851,0.034621
6.24,-3.76,0.0248113,0.0366523,0.0391735
