x,a,b
0,0,1
0.0300752,0.00979018,0.99021
0.0601504,0.0195789,0.980421
0.0902256,0.0293647,0.970635
0.120301,0.039146,0.960854
0.150376,0.0489215,0.951079
0.180451,0.0586896,0.94131
0.210526,0.0684489,0.931551
0.240602,0.078198,0.921802
0.270677,0.0879353,0.912065
0.300752,0.0976594,0.902341
0.330827,0.107369,0.892631
0.360902,0.117062,0.882938
0.390977,0.126738,0.873262
0.421053,0.136396,0.863604
0.451128,0.146032,0.853968
0.481203,0.155648,0.844352
0.511278,0.16524,0.83476
0.541353,0.174807,0.825193
0.571429,0.184349,0.815651
0.601504,0.193863,0.806137
0.631579,0.203349,0.796651
0.661654,0.212805,0.787195
0.691729,0.22223,0.77777
0.721805,0.231622,0.768378
0.75188,0.24098,0.75902
0.781955,0.250303,0.749697
0.81203,0.25959,0.74041
0.842105,0.268839,0.731161
0.87218,0.278049,0.721951
0.902256,0.28722,0.71278
0.932331,0.296349,0.703651
0.962406,0.305435,0.694565
0.992481,0.314478,0.685522
1.02256,0.323476,0.676524
1.05263,0.332428,0.667572
1.08271,0.341334,0.658666
1.11278,0.350191,0.649809
1.14286,0.358999,0.641001
1.17293,0.367756,0.632244
1.20301,0.376463,0.623537
1.23308,0.385117,0.614883
1.26316,0.393718,0.606282
1.29323,0.402265,0.597735
1.32331,0.410757,0.589243
1.35338,0.419193,0.580807
1.38346,0.427572,0.572428
1.41353,0.435893,0.564107
1.44361,0.444156,0.555844
1.47368,0.452359,0.547641
1.50376,0.460502,0.539498
1.53383,0.468584,0.531416
1.56391,0.476604,0.523396
1.59398,0.484561,0.515439
1.62406,0.492456,0.507544
1.65414,0.500286,0.499714
1.68421,0.508052,0.491948
1.71429,0.515753,0.484247
1.74436,0.523388,0.476612
1.77444,0.530957,0.469043
1.80451,0.538459,0.461541
1.83459,0.545893,0.454107
1.86466,0.55326,0.44674
1.89474,0.560558,0.439442
1.92481,0.567787,0.432213
1.95489,0.574948,0.425052
1.98496,0.582038,0.417962
2.01504,0.589058,0.410942
2.04511,0.596008,0.403992
2.07519,0.602887,0.397113
2.10526,0.609695,0.390305
2.13534,0.616432,0.383568
2.16541,0.623097,0.376903
2.19549,0.629691,0.370309
2.22556,0.636212,0.363788
2.25564,0.642661,0.357339
2.28571,0.649038,0.350962
2.31579,0.655342,0.344658
2.34586,0.661574,0.338426
2.37594,0.667732,0.332268
2.40602,0.673819,0.326181
2.43609,0.679832,0.320168
2.46617,0.685772,0.314228
2.49624,0.69164,0.30836
2.52632,0.697434,0.302566
2.55639,0.703156,0.296844
2.58647,0.708806,0.291194
2.61654,0.714382,0.285618
2.64662,0.719886,0.280114
2.67669,0.725318,0.274682
2.70677,0.730677,0.269323
2.73684,0.735964,0.264036
2.76692,0.741179,0.258821
2.79699,0.746323,0.253677
2.82707,0.751395,0.248605
2.85714,0.756395,0.243605
2.88722,0.761325,0.238675
2.91729,0.766184,0.233816
2.94737,0.770973,0.229027
2.97744,0.775691,0.224309
3.00752,0.78034,0.21966
3.03759,0.784919,0.215081
3.06767,0.789429,0.210571
3.09774,0.79387,0.20613
3.12782,0.798243,0.201757
3.15789,0.802548,0.197452
3.18797,0.806786,0.193214
3.21805,0.810956,0.189044
3.24812,0.81506,0.18494
3.2782,0.819097,0.180903
3.30827,0.823069,0.176931
3.33835,0.826975,0.173025
3.36842,0.830817,0.169183
3.3985,0.834595,0.165405
3.42857,0.838308,0.161692
3.45865,0.841959,0.158041
3.48872,0.845547,0.154453
3.5188,0.849073,0.150927
3.54887,0.852537,0.147463
3.57895,0.85594,0.14406
3.60902,0.859282,0.140718
3.6391,0.862565,0.137435
3.66917,0.865788,0.134212
3.69925,0.868953,0.131047
3.72932,0.87206,0.12794
3.7594,0.875109,0.124891
3.78947,0.878101,0.121899
3.81955,0.881037,0.118963
3.84962,0.883917,0.116083
3.8797,0.886743,0.113257
3.90977,0.889513,0.110487
3.93985,0.892231,0.107769
3.96992,0.894895,0.105105
4,0.897506,0.102494
4.03008,0.900066,0.0999342
4.06015,0.902574,0.0974256
4.09023,0.905032,0.0949676
4.1203,0.90744,0.0925595
4.15038,0.909799,0.0902006
4.18045,0.91211,0.0878903
4.21053,0.914372,0.0856279
4.2406,0.916587,0.0834127
4.27068,0.918756,0.0812441
4.30075,0.920879,0.0791214
4.33083,0.922956,0.077044
4.3609,0.924989,0.0750113
4.39098,0.926978,0.0730225
4.42105,0.928923,0.071077
4.45113,0.930826,0.0691741
4.4812,0.932687,0.0673133
4.51128,0.934506,0.0654938
4.54135,0.936285,0.063715
4.57143,0.938024,0.0619762
4.6015,0.939723,0.0602769
4.63158,0.941384,0.0586163
4.66165,0.943006,0.0569938
4.69173,0.944591,0.0554088
4.7218,0.946139,0.0538607
4.75188,0.947651,0.0523489
4.78195,0.949127,0.0508726
4.81203,0.950569,0.0494313
4.84211,0.951976,0.0480244
4.87218,0.953349,0.0466513
4.90226,0.954689,0.0453113
4.93233,0.955996,0.0440038
4.96241,0.957272,0.0427284
4.99248,0.958516,0.0414842
5.02256,0.959729,0.0402709
5.05263,0.960912,0.0390877
5.08271,0.962066,0.0379342
5.11278,0.96319,0.0368097
5.14286,0.964286,0.0357137
5.17293,0.965354,0.0346456
5.20301,0.966395,0.0336049
5.23308,0.967409,0.032591
5.26316,0.968397,0.0316034
5.29323,0.969358,0.0306416
5.32331,0.970295,0.0297049
5.35338,0.971207,0.028793
5.38346,0.972095,0.0279052
5.41353,0.972959,0.0270411
