t,E_dc,I,C_l,C_r
0,-9.995,-3.27075,-0.231277,8.17223e-05
0.08,-9.915,0.871662,0.457088,0.000103645
0.16,-9.835,0.697497,0.580847,0.000124866
0.24,-9.755,0.598385,0.650461,0.000138336
0.32,-9.675,0.498431,0.685406,0.000139971
0.4,-9.595,0.391879,0.689345,0.000132072
0.48,-9.515,0.299966,0.671838,0.000121219
0.56,-9.435,0.251429,0.650488,0.000113843
0.64,-9.355,0.263183,0.645367,0.000114278
0.72,-9.275,0.327715,0.669911,0.000125501
0.8,-9.195,0.417709,0.725186,0.000150155
0.88,-9.115,0.502478,0.801631,0.000189871
0.96,-9.035,0.559718,0.884939,0.000242037
1.04,-8.955,0.576537,0.960578,0.000295946
1.12,-8.875,0.547136,1.01576,0.000334495
1.2,-8.795,0.474158,1.04112,0.000344968
1.28,-8.715,0.373173,1.03388,0.000329538
1.36,-8.635,0.274398,1.00132,0.000303005
1.44,-8.555,0.214966,0.961398,0.000281943
1.52,-8.475,0.221038,0.937248,0.000278106
1.6,-8.395,0.291272,0.946714,0.000299246
1.68,-8.315,0.397762,0.99401,0.000351968
1.76,-8.235,0.504161,1.06987,0.000441283
1.84,-8.155,0.582378,1.15809,0.000563992
1.92,-8.075,0.616198,1.24168,0.000698601
2,-7.995,0.598139,1.30558,0.000805012
2.08,-7.915,0.529293,1.3383,0.000846831
2.16,-7.835,0.423717,1.33481,0.000820551
2.24,-7.755,0.311674,1.3005,0.000757737
2.32,-7.675,0.233959,1.25286,0.000700182
2.4,-7.595,0.224166,1.21707,0.00067963
2.48,-7.515,0.288427,1.2152,0.000716584
2.56,-7.435,0.401181,1.25562,0.000827517
2.64,-7.355,0.522347,1.33092,0.00102638
2.72,-7.275,0.618014,1.4242,0.00131185
2.8,-7.195,0.667654,1.5165,0.00164269
2.88,-7.115,0.661199,1.59062,0.00192793
2.96,-7.035,0.597583,1.63286,0.00206951
3.04,-6.955,0.488715,1.63578,0.00203747
3.12,-6.875,0.363997,1.60248,0.00189424
3.2,-6.795,0.26686,1.54936,0.00174248
3.28,-6.715,0.237979,1.503,0.00166715
3.36,-6.635,0.292029,1.48952,0.00172315
3.44,-6.555,0.407717,1.52202,0.00195178
3.52,-6.475,0.54239,1.59583,0.00238976
3.6,-6.395,0.656061,1.69394,0.00304659
3.68,-6.315,0.723029,1.79552,0.00384747
3.76,-6.235,0.730031,1.88109,0.00459279
3.84,-6.155,0.673575,1.93456,0.00503088
3.92,-6.075,0.563172,1.94595,0.00503967
4,-5.995,0.426776,1.91577,0.0047283
4.08,-5.915,0.309594,1.85879,0.00434102
4.16,-5.835,0.258954,1.80241,0.00410192
4.24,-5.755,0.298964,1.77659,0.00415914
4.32,-5.675,0.414519,1.79967,0.00461728
4.4,-5.595,0.561763,1.87067,0.00556966
4.48,-5.515,0.694473,1.97309,0.00706286
4.56,-5.435,0.78079,2.08436,0.00897146
4.64,-5.355,0.803468,2.18249,0.0108721
4.72,-5.275,0.756292,2.24879,0.0121469
4.8,-5.195,0.646275,2.27055,0.0123943
4.88,-5.115,0.499522,2.2455,0.0117617
4.96,-5.035,0.362151,2.18633,0.0108065
5.04,-4.955,0.287453,2.12061,0.0101075
5.12,-4.875,0.30954,2.08176,0.0100644
5.2,-4.795,0.421456,2.09378,0.0109454
5.28,-4.715,0.57991,2.1603,0.012982
5.36,-4.635,0.732598,2.2662,0.0163264
5.44,-4.555,0.840428,2.38735,0.020791
5.52,-4.475,0.881099,2.49899,0.0255103
5.6,-4.395,0.845255,2.57954,0.0290327
5.68,-4.315,0.737507,2.6134,0.0301904
5.76,-4.235,0.582048,2.59541,0.0290393
5.84,-4.155,0.425067,2.53587,0.0267793
5.92,-4.075,0.324694,2.46183,0.0248588
6,-3.995,0.325089,2.40957,0.0243444
6.08,-3.915,0.4293,2.4089,0.0259305
6.16,-3.835,0.59684,2.46903,0.0301781
6.24,-3.755,0.769959,2.57717,0.0375058
6.32,-3.675,0.901243,2.70802,0.0476754
6.4,-3.595,0.961904,2.83378,0.0589799
6.48,-3.515,0.938862,2.9295,0.0681801
6.56,-3.435,0.83483,2.97659,0.072213
6.64,-3.355,0.672674,2.9672,0.0705343
6.72,-3.275,0.497962,2.90921,0.0655048
6.8,-3.195,0.371824,2.82847,0.0605587
6.88,-3.115,0.347476,2.76315,0.0584554
6.96,-3.035,0.439373,2.74849,0.0609865
7.04,-2.955,0.612538,2.80007,0.0694789
7.12,-2.875,0.805131,2.90857,0.08493
7.2,-2.795,0.960468,3.048,0.107064
7.28,-2.715,1.04151,3.18722,0.132597
7.36,-2.635,1.03093,3.29744,0.154773
7.44,-2.555,0.930921,3.35715,0.166485
