t,E_dc,I,C_l,C_r
0,-10,2.52895e-05,0,1.47385e-06
0.08,-9.92,2.15714e-06,1.45991e-06,1.6837e-06
0.16,-9.84,1.83079e-06,1.71267e-06,1.89247e-06
0.24,-9.76,1.67288e-06,1.90102e-06,2.06944e-06
0.32,-9.68,1.5237e-06,2.03943e-06,2.19527e-06
0.4,-9.6,1.38131e-06,2.13185e-06,2.27362e-06
0.48,-9.52,1.2821e-06,2.19939e-06,2.33079e-06
0.56,-9.44,1.27972e-06,2.27467e-06,2.40526e-06
0.64,-9.36,1.39953e-06,2.39386e-06,2.53593e-06
0.72,-9.28,1.64583e-06,2.58875e-06,2.75438e-06
0.8,-9.2,2.00313e-06,2.87903e-06,3.07944e-06
0.88,-9.12,2.42285e-06,3.26748e-06,3.50989e-06
0.96,-9.04,2.82533e-06,3.7318e-06,4.01557e-06
1.04,-8.96,3.108e-06,4.2218e-06,4.5351e-06
1.12,-8.88,3.18902e-06,4.66882e-06,4.99213e-06
1.2,-8.8,3.07307e-06,5.01676e-06,5.3299e-06
1.28,-8.72,2.85558e-06,5.25189e-06,5.54388e-06
1.36,-8.64,2.68451e-06,5.41357e-06,5.68803e-06
1.44,-8.56,2.69517e-06,5.57848e-06,5.85291e-06
1.52,-8.48,2.97419e-06,5.83489e-06,6.13572e-06
1.6,-8.4,3.55547e-06,6.26189e-06,6.61906e-06
1.68,-8.32,4.41432e-06,6.91566e-06,7.3573e-06
1.76,-8.24,5.45714e-06,7.81465e-06,8.3602e-06
1.84,-8.16,6.50271e-06,8.91937e-06,9.57084e-06
1.92,-8.08,7.30081e-06,1.01195e-05,1.0854e-05
2,-8,7.6352e-06,1.1252e-05,1.20243e-05
2.08,-7.92,7.45949e-06,1.2165e-05,1.29237e-05
2.16,-7.84,6.9641e-06,1.27974e-05,1.35087e-05
2.24,-7.76,6.49806e-06,1.32185e-05,1.3883e-05
2.32,-7.68,6.41319e-06,1.36016e-05,1.42554e-05
2.4,-7.6,6.95303e-06,1.41624e-05,1.48665e-05
2.48,-7.52,8.22375e-06,1.51029e-05,1.59299e-05
2.56,-7.44,1.02001e-05,1.65761e-05,1.7597e-05
2.64,-7.36,1.26976e-05,1.86514e-05,1.99204e-05
2.72,-7.28,1.5316e-05,2.12676e-05,2.28007e-05
2.8,-7.2,1.74678e-05,2.41918e-05,2.5947e-05
2.88,-7.12,1.85731e-05,2.70426e-05,2.89187e-05
2.96,-7.04,1.84014e-05,2.9424e-05,3.12932e-05
3.04,-6.96,1.72968e-05,3.11235e-05,3.28886e-05
