x,a,b
0,0,1
0.0300752,0.00341471,0.996585
0.0601504,0.00682936,0.993171
0.0902256,0.0102439,0.989756
0.120301,0.0136583,0.986342
0.150376,0.0170724,0.982928
0.180451,0.0204863,0.979514
0.210526,0.0238998,0.9761
0.240602,0.0273129,0.972687
0.270677,0.0307255,0.969274
0.300752,0.0341376,0.965862
0.330827,0.0375492,0.962451
0.360902,0.0409601,0.95904
0.390977,0.0443704,0.95563
0.421053,0.0477799,0.95222
0.451128,0.0511886,0.948811
0.481203,0.0545964,0.945404
0.511278,0.0580033,0.941997
0.541353,0.0614093,0.938591
0.571429,0.0648142,0.935186
0.601504,0.0682181,0.931782
0.631579,0.0716208,0.928379
0.661654,0.0750223,0.924978
0.691729,0.0784225,0.921577
0.721805,0.0818215,0.918179
0.75188,0.0852191,0.914781
0.781955,0.0886152,0.911385
0.81203,0.0920099,0.90799
0.842105,0.095403,0.904597
0.87218,0.0987946,0.901205
0.902256,0.102184,0.897816
0.932331,0.105573,0.894427
0.962406,0.108959,0.891041
0.992481,0.112344,0.887656
1.02256,0.115727,0.884273
1.05263,0.119107,0.880893
1.08271,0.122486,0.877514
1.11278,0.125863,0.874137
1.14286,0.129238,0.870762
1.17293,0.13261,0.86739
1.20301,0.135981,0.864019
1.23308,0.139349,0.860651
1.26316,0.142715,0.857285
1.29323,0.146078,0.853922
1.32331,0.149439,0.850561
1.35338,0.152798,0.847202
1.38346,0.156154,0.843846
1.41353,0.159508,0.840492
1.44361,0.162858,0.837142
1.47368,0.166207,0.833793
1.50376,0.169552,0.830448
1.53383,0.172895,0.827105
1.56391,0.176235,0.823765
1.59398,0.179572,0.820428
1.62406,0.182906,0.817094
1.65414,0.186237,0.813763
1.68421,0.189564,0.810436
1.71429,0.192889,0.807111
1.74436,0.196211,0.803789
1.77444,0.19953,0.80047
1.80451,0.202845,0.797155
1.83459,0.206157,0.793843
1.86466,0.209465,0.790535
1.89474,0.212771,0.787229
1.92481,0.216072,0.783928
1.95489,0.219371,0.780629
1.98496,0.222665,0.777335
2.01504,0.225956,0.774044
2.04511,0.229244,0.770756
2.07519,0.232527,0.767473
2.10526,0.235807,0.764193
2.13534,0.239084,0.760916
2.16541,0.242356,0.757644
2.19549,0.245624,0.754376
