x,a,b
6.37594,0.756941,0.243059
6.40602,0.759184,0.240816
6.43609,0.761413,0.238587
6.46617,0.763629,0.236371
6.49624,0.76583,0.23417
6.52632,0.768018,0.231982
6.55639,0.770193,0.229807
6.58647,0.772354,0.227646
6.61654,0.774501,0.225499
6.64662,0.776635,0.223365
6.67669,0.778755,0.221245
6.70677,0.780862,0.219138
6.73684,0.782956,0.217044
6.76692,0.785036,0.214964
6.79699,0.787103,0.212897
6.82707,0.789156,0.210844
6.85714,0.791197,0.208803
6.88722,0.793224,0.206776
6.91729,0.795238,0.204762
6.94737,0.797239,0.202761
6.97744,0.799226,0.200774
7.00752,0.801201,0.198799
7.03759,0.803163,0.196837
7.06767,0.805112,0.194888
7.09774,0.807048,0.192952
7.12782,0.808971,0.191029
7.15789,0.810881,0.189119
7.18797,0.812779,0.187221
7.21805,0.814664,0.185336
7.24812,0.816536,0.183464
7.2782,0.818396,0.181604
7.30827,0.820243,0.179757
7.33835,0.822078,0.177922
7.36842,0.8239,0.1761
7.3985,0.82571,0.17429
7.42857,0.827508,0.172492
7.45865,0.829293,0.170707
7.48872,0.831066,0.168934
7.5188,0.832827,0.167173
7.54887,0.834576,0.165424
7.57895,0.836313,0.163687
7.60902,0.838038,0.161962
7.6391,0.839751,0.160249
7.66917,0.841452,0.158548
7.69925,0.843142,0.156858
7.72932,0.844819,0.155181
7.7594,0.846485,0.153515
7.78947,0.848139,0.151861
7.81955,0.849782,0.150218
7.84962,0.851413,0.148587
7.8797,0.853033,0.146967
7.90977,0.854642,0.145358
7.93985,0.856239,0.143761
7.96992,0.857825,0.142175
8,0.859399,0.140601
8.03008,0.860963,0.139037
8.06015,0.862516,0.137484
8.09023,0.864057,0.135943
8.1203,0.865588,0.134412
8.15038,0.867108,0.132892
8.18045,0.868617,0.131383
8.21053,0.870115,0.129885
8.2406,0.871603,0.128397
8.27068,0.87308,0.12692
8.30075,0.874546,0.125454
8.33083,0.876003,0.123997
8.3609,0.877449,0.122551
8.39098,0.878884,0.121116
8.42105,0.880309,0.119691
8.45113,0.881725,0.118275
8.4812,0.88313,0.11687
8.51128,0.884525,0.115475
8.54135,0.88591,0.11409
8.57143,0.887285,0.112715
8.6015,0.888651,0.111349
8.63158,0.890007,0.109993
8.66165,0.891353,0.108647
8.69173,0.892689,0.107311
8.7218,0.894016,0.105984
8.75188,0.895334,0.104666
8.78195,0.896642,0.103358
8.81203,0.897942,0.102058
8.84211,0.899231,0.100769
8.87218,0.900512,0.0994877
8.90226,0.901784,0.098216
