x,a,b
0,0.450977,0.533341
0.0300752,0.467641,0.531161
0.0601504,0.483798,0.525186
0.0902256,0.49945,0.516187
0.120301,0.5146,0.504831
0.150376,0.529255,0.491701
0.180451,0.54342,0.477293
0.210526,0.557105,0.462036
0.240602,0.570318,0.446289
0.270677,0.583071,0.430355
0.300752,0.595375,0.414484
0.330827,0.607241,0.398881
0.360902,0.618682,0.383709
0.390977,0.629712,0.369095
0.421053,0.640342,0.355135
0.451128,0.650587,0.341897
0.481203,0.660461,0.329428
0.511278,0.669975,0.317751
0.541353,0.679145,0.306874
0.571429,0.687984,0.29679
0.601504,0.696504,0.287479
0.631579,0.70472,0.278914
0.661654,0.712643,0.271057
0.691729,0.720287,0.263865
0.721805,0.727663,0.257292
0.75188,0.734783,0.251288
0.781955,0.74166,0.245799
0.81203,0.748304,0.240773
0.842105,0.754727,0.236156
0.87218,0.760938,0.231897
0.902256,0.766947,0.227944
0.932331,0.772764,0.224248
0.962406,0.778399,0.220763
0.992481,0.78386,0.217446
1.02256,0.789155,0.214254
1.05263,0.794293,0.211151
1.08271,0.79928,0.208103
1.11278,0.804125,0.205079
1.14286,0.808834,0.202051
1.17293,0.813412,0.198996
1.20301,0.817868,0.195893
1.23308,0.822205,0.192726
1.26316,0.826429,0.189481
1.29323,0.830546,0.186147
1.32331,0.83456,0.182716
1.35338,0.838475,0.179184
1.38346,0.842296,0.175547
1.41353,0.846026,0.171807
1.44361,0.849669,0.167964
1.47368,0.853228,0.164024
1.50376,0.856707,0.159992
1.53383,0.860108,0.155876
1.56391,0.863434,0.151685
1.59398,0.866688,0.147429
1.62406,0.869871,0.143119
1.65414,0.872986,0.138767
1.68421,0.876034,0.134385
1.71429,0.879019,0.129988
1.74436,0.88194,0.125587
1.77444,0.8848,0.121197
1.80451,0.887601,0.116831
1.83459,0.890343,0.112502
1.86466,0.893028,0.108224
1.89474,0.895657,0.10401
1.92481,0.898231,0.0998706
1.95489,0.900751,0.0958188
1.98496,0.903218,0.0918654
2.01504,0.905633,0.0880207
2.04511,0.907997,0.0842943
2.07519,0.91031,0.080695
2.10526,0.912574,0.0772307
2.13534,0.914788,0.0739084
2.16541,0.916955,0.0707342
2.19549,0.919074,0.067713
2.22556,0.921145,0.0648493
2.25564,0.923171,0.0621461
2.28571,0.925151,0.0596057
2.31579,0.927086,0.0572295
2.34586,0.928977,0.0550179
2.37594,0.930825,0.0529705
2.40602,0.932629,0.0510859
2.43609,0.93439,0.0493621
2.46617,0.93611,0.047796
2.49624,0.937789,0.046384
2.52632,0.939427,0.0451217
2.55639,0.941025,0.0440041
2.58647,0.942585,0.0430256
2.61654,0.944105,0.0421799
2.64662,0.945588,0.0414604
2.67669,0.947033,0.04086
2.70677,0.948442,0.0403711
2.73684,0.949815,0.0399858
2.76692,0.951153,0.0396961
2.79699,0.952457,0.0394936
2.82707,0.953727,0.0393698
2.85714,0.954963,0.039316
2.88722,0.956168,0.0393235
2.91729,0.957341,0.0393836
2.94737,0.958482,0.0394876
2.97744,0.959594,0.039627
3.00752,0.960676,0.0397932
3.03759,0.96173,0.039978
3.06767,0.962755,0.0401732
3.09774,0.963753,0.0403711
3.12782,0.964725,0.0405641
3.15789,0.96567,0.0407451
3.18797,0.96659,0.040907
3.21805,0.967486,0.0410434
3.24812,0.968358,0.0411483
3.2782,0.969206,0.0412159
3.30827,0.970032,0.0412411
3.33835,0.970836,0.041219
3.36842,0.971619,0.0411455
3.3985,0.972381,0.0410166
3.42857,0.973124,0.0408291
3.45865,0.973846,0.0405801
3.48872,0.97455,0.0402673
3.5188,0.975235,0.0398889
3.54887,0.975903,0.0394436
3.57895,0.976554,0.0389304
3.60902,0.977188,0.0383491
3.6391,0.977805,0.0376997
3.66917,0.978407,0.0369828
3.69925,0.978994,0.0361994
3.72932,0.979566,0.0353509
3.7594,0.980124,0.0344392
3.78947,0.980667,0.0334666
3.81955,0.981198,0.0324355
3.84962,0.981715,0.031349
3.8797,0.982219,0.0302103
3.90977,0.982711,0.0290231
3.93985,0.983191,0.0277912
3.96992,0.983659,0.0265187
4,0.984116,0.0252099
4.03008,0.984562,0.0238693
4.06015,0.984997,0.0225017
4.09023,0.985422,0.0211119
4.1203,0.985836,0.0197048
4.15038,0.98624,0.0182855
4.18045,0.986634,0.0168591
4.21053,0.987019,0.0154306
4.2406,0.987394,0.0140053
4.27068,0.98776,0.0125883
4.30075,0.988117,0.0111845
4.33083,0.988465,0.00979906
4.3609,0.988805,0.0084368
4.39098,0.989136,0.0071025
4.42105,0.989459,0.00580079
4.45113,0.989773,0.00453615
4.4812,0.990079,0.00331286
4.51128,0.990378,0.002135
4.54135,0.990668,0.00100644
4.57143,0.990951,-6.92134e-05
4.6015,0.991226,-0.00108857
4.63158,0.991494,-0.00204853
4.66165,0.991754,-0.00294625
4.69173,0.992007,-0.0037792
4.7218,0.992253,-0.00454514
4.75188,0.992491,-0.00524211
4.78195,0.992723,-0.00586849
4.81203,0.992948,-0.00642297
4.84211,0.993166,-0.00690455
4.87218,0.993378,-0.00731257
4.90226,0.993582,-0.00764666
4.93233,0.993781,-0.00790681
4.96241,0.993973,-0.00809329
4.99248,0.994159,-0.00820672
5.02256,0.994338,-0.008248
5.05263,0.994512,-0.00821833
5.08271,0.994679,-0.00811924
5.11278,0.994841,-0.00795251
5.14286,0.994997,-0.0077202
5.17293,0.995148,-0.00742465
5.20301,0.995293,-0.00706843
5.23308,0.995432,-0.00665438
5.26316,0.995567,-0.00618551
5.29323,0.995696,-0.0056651
5.32331,0.99582,-0.00509658
5.35338,0.99594,-0.00448357
5.38346,0.996055,-0.00382984
5.41353,0.996165,-0.00313932
5.44361,0.996271,-0.00241605
5.47368,0.996372,-0.00166417
5.50376,0.996469,-0.000887919
5.53383,0.996563,-9.15867e-05
5.56391,0.996652,0.00072048
5.59398,0.996738,0.00154391
5.62406,0.99682,0.00237431
5.65414,0.996899,0.00320733
5.68421,0.996975,0.00403862
5.71429,0.997047,0.00486388
5.74436,0.997117,0.00567889
5.77444,0.997183,0.0064795
5.80451,0.997247,0.00726169
5.83459,0.997309,0.00802152
5.86466,0.997368,0.00875521
5.89474,0.997425,0.00945912
5.92481,0.99748,0.0101298
5.95489,0.997533,0.0107639
5.98496,0.997584,0.0113584
6.01504,0.997634,0.0119104
6.04511,0.997682,0.0124172
6.07519,0.997728,0.0128764
6.10526,0.997774,0.0132857
6.13534,0.997818,0.0136433
6.16541,0.997861,0.0139473
6.19549,0.997904,0.0141963
6.22556,0.997945,0.0143892
6.25564,0.997986,0.014525
6.28571,0.998026,0.0146032
6.31579,0.998066,0.0146232
6.34586,0.998105,0.014585
6.37594,0.998144,0.0144889
6.40602,0.998182,0.0143351
6.43609,0.998221,0.0141246
6.46617,0.998259,0.0138581
6.49624,0.998297,0.013537
6.52632,0.998335,0.0131627
6.55639,0.998374,0.0127369
6.58647,0.998412,0.0122617
6.61654,0.99845,0.0117392
6.64662,0.998489,0.0111718
6.67669,0.998527,0.0105622
6.70677,0.998566,0.00991309
6.73684,0.998605,0.0092275
6.76692,0.998644,0.00850858
6.79699,0.998683,0.00775962
6.82707,0.998722,0.00698406
6.85714,0.998762,0.00618545
6.88722,0.998801,0.00536745
6.91729,0.998841,0.00453381
6.94737,0.998881,0.00368833
6.97744,0.998921,0.00283488
7.00752,0.998961,0.00197737
7.03759,0.999,0.00111971
7.06767,0.99904,0.000265808
7.09774,0.999079,-0.000580434
7.12782,0.999119,-0.00141516
7.15789,0.999158,-0.00223457
7.18797,0.999197,-0.00303494
7.21805,0.999235,-0.00381263
7.24812,0.999273,-0.0045641
7.2782,0.999311,-0.00528596
7.30827,0.999348,-0.00597493
7.33835,0.999384,-0.00662792
7.36842,0.99942,-0.00724197
7.3985,0.999455,-0.00781434
7.42857,0.999489,-0.00834246
7.45865,0.999522,-0.008824
7.48872,0.999555,-0.00925684
7.5188,0.999586,-0.00963907
7.54887,0.999616,-0.00996906
7.57895,0.999646,-0.0102454
7.60902,0.999674,-0.010467
7.6391,0.999701,-0.0106329
7.66917,0.999727,-0.0107425
7.69925,0.999751,-0.0107956
7.72932,0.999774,-0.0107921
7.7594,0.999796,-0.0107321
7.78947,0.999817,-0.0106163
7.81955,0.999836,-0.0104453
7.84962,0.999853,-0.0102202
7.8797,0.99987,-0.00994242
7.90977,0.999884,-0.00961349
7.93985,0.999898,-0.00923525
7.96992,0.99991,-0.00880981
8,0.99992,-0.00833953
8.03008,0.999929,-0.00782696
8.06015,0.999937,-0.0072749
8.09023,0.999943,-0.00668636
8.1203,0.999947,-0.00606453
8.15038,0.999951,-0.00541279
8.18045,0.999953,-0.00473466
8.21053,0.999954,-0.00403384
8.2406,0.999953,-0.00331412
8.27068,0.999951,-0.00257943
8.30075,0.999949,-0.00183377
8.33083,0.999945,-0.00108122
8.3609,0.99994,-0.000325901
8.39098,0.999934,0.000428031
8.42105,0.999927,0.00117642
8.45113,0.99992,0.00191513
8.4812,0.999911,0.00264006
8.51128,0.999903,0.00334716
8.54135,0.999893,0.00403248
8.57143,0.999883,0.00469216
8.6015,0.999873,0.00532249
8.63158,0.999862,0.00591988
8.66165,0.999851,0.00648093
8.69173,0.99984,0.00700242
8.7218,0.999829,0.00748136
8.75188,0.999818,0.00791496
8.78195,0.999807,0.00830069
8.81203,0.999796,0.00863631
8.84211,0.999786,0.00891981
8.87218,0.999776,0.00914952
8.90226,0.999766,0.00932405
8.93233,0.999757,0.00944236
8.96241,0.999748,0.0095037
8.99248,0.99974,0.0095077
9.02256,0.999733,0.00945431
9.05263,0.999727,0.00934383
9.08271,0.999721,0.00917693
9.11278,0.999717,0.00895461
9.14286,0.999713,0.00867826
9.17293,0.99971,0.00834958
9.20301,0.999709,0.00797064
9.23308,0.999708,0.00754384
9.26316,0.999708,0.00707191
9.29323,0.99971,0.00655788
9.32331,0.999712,0.0060051
9.35338,0.999716,0.00541719
9.38346,0.99972,0.00479805
9.41353,0.999726,0.00415181
9.44361,0.999733,0.00348284
9.47368,0.999741,0.00279568
9.50376,0.999749,0.00209506
9.53383,0.999759,0.00138585
9.56391,0.99977,0.000673023
9.59398,0.999781,-3.83626e-05
9.62406,0.999793,-0.000743208
9.65414,0.999806,-0.0014364
9.68421,0.99982,-0.00211286
9.71429,0.999834,-0.00276757
9.74436,0.999848,-0.0033956
9.77444,0.999863,-0.00399217
9.80451,0.999878,-0.00455268
9.83459,0.999894,-0.00507274
9.86466,0.99991,-0.00554822
9.89474,0.999925,-0.00597528
9.92481,0.999941,-0.0063504
9.95489,0.999956,-0.00667044
9.98496,0.999972,-0.00693265
10.015,0.999986,-0.00713471
10.0451,1,-0.00727476
10.0752,1.00001,-0.00735146
10.1053,1.00003,-0.00736394
10.1353,1.00004,-0.00731189
10.1654,1.00005,-0.00719557
10.1955,1.00006,-0.0070158
10.2256,1.00007,-0.00677397
10.2556,1.00008,-0.00647207
10.2857,1.00009,-0.00611269
10.3158,1.0001,-0.00569898
10.3459,1.0001,-0.0052347
10.3759,1.00011,-0.00472415
10.406,1.00011,-0.00417217
10.4361,1.00011,-0.00358413
10.4662,1.00011,-0.00296586
10.4962,1.00011,-0.00232365
10.5263,1.00011,-0.00166418
10.5564,1.00011,-0.000994454
10.5865,1.00011,-0.000321784
10.6165,1.0001,0.000346324
10.6466,1.0001,0.00100222
10.6767,1.00009,0.00163817
10.7068,1.00008,0.00224651
10.7368,1.00007,0.00281965
10.7669,1.00006,0.00335022
10.797,1.00006,0.00383118
10.8271,1.00005,0.00425588
10.8571,1.00003,0.00461821
10.8872,1.00002,0.00491271
10.9173,1.00001,0.00513463
10.9474,1,0.00528009
10.9774,0.999992,0.00534618
11.0075,0.999981,0.00533105
11.0376,0.999971,0.00523403
11.0677,0.999962,0.00505567
11.0977,0.999953,0.00479791
11.1278,0.999945,0.00446407
11.1579,0.999937,0.00405894
11.188,0.999931,0.00358881
11.218,0.999925,0.00306148
11.2481,0.999921,0.00248625
11.2782,0.999918,0.0018739
11.3083,0.999915,0.00123657
11.3383,0.999914,0.000587689
11.3684,0.999915,-5.82023e-05
11.3985,0.999916,-0.000685661
11.4286,0.999918,-0.0012786
11.4586,0.999921,-0.00182061
11.4887,0.999925,-0.00229536
11.5188,0.99993,-0.00268707
11.5489,0.999936,-0.00298107
11.5789,0.999942,-0.00316444
11.609,0.999949,-0.00322678
11.6391,0.999955,-0.00316106
11.6692,0.999962,-0.00296462
11.6992,0.999969,-0.0026403
11.7293,0.999975,-0.0021977
11.7594,0.99998,-0.00165465
11.7895,0.999985,-0.00103878
11.8195,0.99999,-0.000389304
11.8496,0.999993,0.000240913
11.8797,0.999995,0.000783193
11.9098,0.999997,0.00115056
11.9398,0.999998,0.00123503
11.9699,0.999999,0.000904604
12,1,0
